champion_id,champion_name,patch,games_played,wins,bans,winrate,pickrate,banrate,opgg_winrate,opgg_pickrate,opgg_banrate,opgg_tier,top_games,jungle_games,mid_games,adc_games,support_games,updated_at,opgg_updated_at
59,Jarvan IV,15.9,14,6,3,0.42857142857142855,0.02153846153846154,0.004615384615384616,0.4869,0.0428,0.003,B,0,14,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
98,Shen,15.9,13,6,4,0.46153846153846156,0.02,0.006153846153846154,,,,,10,1,1,0,1,2025-12-10 14:32:18,
104,Graves,15.9,13,3,0,0.23076923076923078,0.02,0.0,0.481,0.0523,0.0374,B,2,11,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
81,Ezreal,15.9,12,6,4,0.5,0.018461538461538463,0.006153846153846154,0.4863,0.1816,0.0392,B,1,0,1,10,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
234,Viego,15.9,12,5,5,0.4166666666666667,0.018461538461538463,0.007692307692307693,0.4743,0.0922,0.0217,C,0,12,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
267,Nami,15.9,12,3,1,0.25,0.018461538461538463,0.0015384615384615385,0.4924,0.0562,0.0067,B,0,0,0,0,12,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
22,Ashe,15.9,11,9,2,0.8181818181818182,0.016923076923076923,0.003076923076923077,0.5189,0.1225,0.1535,S,0,0,0,10,1,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
34,Anivia,15.9,11,8,2,0.7272727272727273,0.016923076923076923,0.003076923076923077,0.5102,0.0304,0.0171,A,0,0,11,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
110,Varus,15.9,11,5,4,0.45454545454545453,0.016923076923076923,0.006153846153846154,0.4693,0.0436,0.0141,D,6,0,0,5,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
145,Kai'Sa,15.9,11,4,1,0.36363636363636365,0.016923076923076923,0.0015384615384615385,0.4972,0.2259,0.0251,A,0,0,0,10,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
202,Jhin,15.9,11,6,0,0.5454545454545454,0.016923076923076923,0.0,0.5034,0.1961,0.013,S,0,0,0,11,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
157,Yasuo,15.9,10,5,11,0.5,0.015384615384615385,0.016923076923076923,0.4851,0.053,0.1206,B,2,0,4,4,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
236,Lucian,15.9,10,7,2,0.7,0.015384615384615385,0.003076923076923077,0.5033,0.1522,0.0911,A,1,0,0,9,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
21,Miss Fortune,15.9,9,1,1,0.1111111111111111,0.013846153846153847,0.0015384615384615385,0.5169,0.2214,0.3628,S,0,0,0,9,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
117,Lulu,15.9,9,3,13,0.3333333333333333,0.013846153846153847,0.02,0.4867,0.1189,0.0837,B,0,0,0,0,9,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
126,Jayce,15.9,9,4,7,0.4444444444444444,0.013846153846153847,0.01076923076923077,0.4963,0.0988,0.2248,A,9,0,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
432,Bard,15.9,9,5,4,0.5555555555555556,0.013846153846153847,0.006153846153846154,0.5217,0.0888,0.0296,S,0,0,0,0,9,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
5,Xin Zhao,15.9,8,7,2,0.875,0.012307692307692308,0.003076923076923077,0.4955,0.0563,0.0107,B,1,6,1,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
18,Tristana,15.9,8,3,14,0.375,0.012307692307692308,0.02153846153846154,0.5061,0.0877,0.0539,A,1,0,1,6,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
89,Leona,15.9,8,3,1,0.375,0.012307692307692308,0.0015384615384615385,0.5177,0.0995,0.052,S,0,0,0,1,7,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
92,Riven,15.9,8,2,3,0.25,0.012307692307692308,0.004615384615384616,,,,,8,0,0,0,0,2025-12-10 14:32:18,
222,Jinx,15.9,8,4,0,0.5,0.012307692307692308,0.0,0.5034,0.0624,0.0045,B,0,0,0,8,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
