elo,server,patch,label,name,role,role_pickrate,tier,winrate,winrate_evol,pickrate,games
TOUT,TOUT,16.3,1,Briar,jun,91.1%,S+,52.8%,+1.5%,6.7%,599 576
TOUT,TOUT,16.3,2,Miss Fortune,adc,97.0%,S+,51.7%,-0.0%,15.5%,1 386 160
TOUT,TOUT,16.3,3,Malzahar,mid,92.2%,S+,52.3%,+0.0%,8.1%,724 180
TOUT,TOUT,16.3,4,Swain,adc,18.6%,S+,54.6%,-0.1%,1.7%,154 988
TOUT,TOUT,16.3,5,Jinx,adc,99.5%,S+,51.6%,-0.2%,16.6%,1 485 175
TOUT,TOUT,16.3,6,Nami,sup,99.9%,S+,52.1%,+0.0%,11.8%,1 056 128
TOUT,TOUT,16.3,7,Braum,sup,99.7%,S+,51.9%,-0.9%,8.0%,713 525
TOUT,TOUT,16.3,8,Dr.Mundo,jun,45.1%,S+,52.9%,+0.1%,4.5%,399 990
TOUT,TOUT,16.3,9,Mordekaiser,top,88.8%,S+,51.6%,+0.4%,8.1%,726 440
TOUT,TOUT,16.3,10,Kayle,top,85.8%,S,52.8%,+0.1%,5.6%,502 463
TOUT,TOUT,16.3,11,Ahri,mid,97.6%,S,51.1%,+1.1%,12.0%,1 076 619
TOUT,TOUT,16.3,12,Twitch,adc,90.8%,S,51.9%,+0.1%,7.1%,635 403
TOUT,TOUT,16.3,13,Veigar,mid,75.8%,S,52.5%,-0.0%,7.5%,672 226
TOUT,TOUT,16.3,14,Caitlyn,adc,98.1%,S,49.9%,-0.3%,22.1%,1 974 773
TOUT,TOUT,16.3,15,Veigar,adc,16.1%,S,54.2%,-0.4%,1.6%,142 278
TOUT,TOUT,16.3,16,Yasuo,mid,72.8%,S,50.2%,-0.4%,10.9%,979 041
TOUT,TOUT,16.3,17,Morgana,sup,85.9%,S,50.9%,+0.0%,8.4%,755 313
TOUT,TOUT,16.3,18,Amumu,jun,91.6%,S,53.1%,-0.3%,5.1%,455 653
TOUT,TOUT,16.3,19,Rammus,jun,93.3%,S,53.5%,-0.2%,2.7%,245 448
TOUT,TOUT,16.3,20,Leona,sup,99.6%,S,51.3%,+0.1%,8.7%,777 027
TOUT,TOUT,16.3,21,Smolder,adc,86.4%,S,51.4%,-0.1%,9.1%,818 242
