match_id,game_duration,team_100_win,team_100_first_blood,team_100_first_tower,team_100_first_inhibitor,team_100_first_dragon,team_100_first_rift_herald,team_100_first_baron,team_100_dragon_kills,team_100_baron_kills,team_100_tower_kills,team_100_inhibitor_kills,team_100_rift_herald_kills,team_100_ban_1,team_100_ban_2,team_100_ban_3,team_100_ban_4,team_100_ban_5,team_200_first_blood,team_200_first_tower,team_200_first_inhibitor,team_200_first_dragon,team_200_first_rift_herald,team_200_first_baron,team_200_dragon_kills,team_200_baron_kills,team_200_tower_kills,team_200_inhibitor_kills,team_200_rift_herald_kills,team_200_ban_1,team_200_ban_2,team_200_ban_3,team_200_ban_4,team_200_ban_5,team_100_top_champion_id,team_100_top_champion_name,team_100_top_kills,team_100_top_deaths,team_100_top_assists,team_100_top_gold,team_100_top_cs,team_100_top_vision,team_100_top_kda,team_100_jungle_champion_id,team_100_jungle_champion_name,team_100_jungle_kills,team_100_jungle_deaths,team_100_jungle_assists,team_100_jungle_gold,team_100_jungle_cs,team_100_jungle_vision,team_100_jungle_kda,team_100_mid_champion_id,team_100_mid_champion_name,team_100_mid_kills,team_100_mid_deaths,team_100_mid_assists,team_100_mid_gold,team_100_mid_cs,team_100_mid_vision,team_100_mid_kda,team_100_adc_champion_id,team_100_adc_champion_name,team_100_adc_kills,team_100_adc_deaths,team_100_adc_assists,team_100_adc_gold,team_100_adc_cs,team_100_adc_vision,team_100_adc_kda,team_100_support_champion_id,team_100_support_champion_name,team_100_support_kills,team_100_support_deaths,team_100_support_assists,team_100_support_gold,team_100_support_cs,team_100_support_vision,team_100_support_kda,team_200_top_champion_id,team_200_top_champion_name,team_200_top_kills,team_200_top_deaths,team_200_top_assists,team_200_top_gold,team_200_top_cs,team_200_top_vision,team_200_top_kda,team_200_jungle_champion_id,team_200_jungle_champion_name,team_200_jungle_kills,team_200_jungle_deaths,team_200_jungle_assists,team_200_jungle_gold,team_200_jungle_cs,team_200_jungle_vision,team_200_jungle_kda,team_200_mid_champion_id,team_200_mid_champion_name,team_200_mid_kills,team_200_mid_deaths,team_200_mid_assists,team_200_mid_gold,team_200_mid_cs,team_200_mid_vision,team_200_mid_kda,team_200_adc_champion_id,team_200_adc_champion_name,team_200_adc_kills,team_200_adc_deaths,team_200_adc_assists,team_200_adc_gold,team_200_adc_cs,team_200_adc_vision,team_200_adc_kda,team_200_support_champion_id,team_200_support_champion_name,team_200_support_kills,team_200_support_deaths,team_200_support_assists,team_200_support_gold,team_200_support_cs,team_200_support_vision,team_200_support_kda
KR_7959957813,1384,0,0,0,0,0,1,0,1,0,5,0,1,266,122,76,142,145,1,1,1,1,0,0,2,0,8,1,0,427,69,9,24,11,150,Gnar,2,7,2,8328,171,20,0.5714285714285714,246,Qiyana,5,4,4,11547,13,45,2.25,61,Orianna,6,4,2,11206,219,18,2.0,202,Jhin,1,3,3,9490,199,18,1.3333333333333333,518.0,Neeko,1.0,6.0,5.0,5656.0,15.0,62.0,1.0,904,Zaahen,8,4,5,11918,207,11,3.25,64,LeeSin,9,3,5,11082,11,29,4.666666666666667,268,Azir,6,4,4,9871,181,17,2.5,81,Ezreal,0,2,6,9330,200,17,3.0,432,Bard,1,2,12,6869,22,81,6.5
KR_7960016366,1423,1,1,1,1,1,1,0,2,0,10,2,1,11,-1,9,-1,68,0,0,0,0,0,0,1,0,1,0,0,35,166,-1,904,68,18,Tristana,19,3,5,18672,180,14,8.0,126,Jayce,7,6,14,12116,11,18,3.5,61,Orianna,4,2,10,9479,188,23,7.0,44,Taric,2,3,19,8587,94,20,7.0,117.0,Lulu,1.0,3.0,19.0,7046.0,17.0,68.0,6.666666666666667,110,Varus,3,10,5,8572,137,19,0.8,64,LeeSin,4,7,6,8516,9,20,1.4285714285714286,112,Viktor,0,3,8,8905,192,9,2.6666666666666665,804,Yunara,9,6,4,13602,194,14,2.1666666666666665,497,Rakan,1,7,14,6659,24,62,2.142857142857143
KR_7959988346,1462,1,1,1,1,1,1,0,1,0,11,2,1,9,236,11,10,143,0,0,0,0,0,0,1,0,0,0,0,122,266,119,429,-1,68,Rumble,6,4,8,9791,154,8,3.5,246,Qiyana,12,4,5,15291,20,22,4.25,163,Taliyah,9,3,8,14620,217,16,5.666666666666667,804,Yunara,7,5,6,14784,205,22,2.6,555.0,Pyke,7.0,4.0,17.0,11073.0,28.0,99.0,6.0,904,Zaahen,0,7,4,6748,132,17,0.5714285714285714,427,Ivern,3,7,8,8799,10,28,1.5714285714285714,126,Jayce,10,11,4,12549,197,24,1.2727272727272727,901,Smolder,2,9,4,9936,173,13,0.6666666666666666,497,Rakan,5,7,9,8245,32,75,2.0
KR_7959926084,1863,1,1,0,1,0,1,1,3,1,10,2,1,266,-1,76,11,68,0,1,0,1,0,0,2,0,1,0,0,166,246,69,950,142,54,Malphite,4,3,12,13217,228,19,5.333333333333333,126,Jayce,11,3,12,18115,35,66,7.666666666666667,61,Orianna,5,5,13,14018,282,43,3.6,145,Kaisa,13,1,8,17030,263,25,21.0,111.0,Nautilus,1.0,5.0,22.0,8721.0,23.0,122.0,4.6,904,Zaahen,0,8,4,9166,199,24,0.5,121,Khazix,4,5,4,12379,9,29,1.6,800,Mel,5,5,3,13910,276,20,1.6,498,Xayah,8,6,4,15607,252,21,2.0,78,Poppy,0,10,8,6930,34,94,0.8
KR_7959859354,1992,1,1,1,0,0,1,1,1,1,7,0,1,-1,30,-1,11,166,0,0,0,1,0,0,3,0,3,0,0,9,266,246,518,166,904,Zaahen,11,3,11,17754,280,24,7.333333333333333,80,Pantheon,8,6,6,13753,12,29,2.3333333333333335,7,Leblanc,5,4,7,12454,213,42,3.0,523,Aphelios,13,8,6,19613,250,19,2.375,12.0,Alistar,1.0,4.0,17.0,9034.0,12.0,90.0,4.5,799,Ambessa,4,9,10,11610,187,20,1.5555555555555556,200,Belveth,10,6,10,17045,77,44,3.3333333333333335,61,Orianna,4,8,8,12606,246,24,1.5,110,Varus,6,8,10,14093,209,32,2.0,78,Poppy,1,7,9,7557,19,102,1.4285714285714286
KR_7959736977,1642,1,0,0,1,0,1,1,2,1,7,1,1,246,166,15,64,85,1,1,0,1,0,0,1,0,2,0,0,246,78,266,111,-1,122,Darius,8,3,4,13420,211,15,4.0,91,Talon,13,5,12,15338,13,39,5.0,61,Orianna,4,2,16,11510,239,41,10.0,81,Ezreal,11,7,9,13542,191,16,2.857142857142857,432.0,Bard,3.0,6.0,25.0,9384.0,32.0,96.0,4.666666666666667,126,Jayce,7,6,3,14999,233,29,1.6666666666666667,9,FiddleSticks,4,10,8,9025,16,41,1.2,3,Galio,3,3,3,9758,200,20,2.0,804,Yunara,7,9,7,13001,218,28,1.5555555555555556,497,Rakan,2,11,13,7402,16,74,1.3636363636363635
KR_7959820615,930,0,1,0,0,0,0,0,0,0,0,0,0,427,-1,266,126,85,0,1,0,1,0,0,2,0,3,0,0,9,-1,246,166,-1,904,Zaahen,0,5,0,4232,88,8,0.0,154,Zac,0,5,2,4692,16,19,0.4,7,Leblanc,3,5,0,5811,102,9,0.6,804,Yunara,1,1,0,6030,138,9,1.0,117.0,Lulu,1.0,1.0,1.0,3913.0,22.0,30.0,2.0,897,KSante,3,0,2,6836,127,5,5.0,36,DrMundo,1,2,2,5712,3,19,1.5,61,Orianna,7,1,1,8065,150,13,8.0,145,Kaisa,6,0,0,7998,147,15,6.0,78,Poppy,0,2,9,4486,14,29,4.5
KR_7958164964,1535,1,1,1,1,0,1,0,1,0,10,2,1,10,555,11,9,904,0,0,0,1,0,0,2,0,1,0,0,-1,84,266,246,61,68,Rumble,6,5,11,11363,166,19,3.4,126,Jayce,12,2,17,16546,53,28,14.5,893,Aurora,20,2,9,16194,192,15,14.5,804,Yunara,5,4,8,11114,176,16,3.25,12.0,Alistar,1.0,7.0,21.0,8006.0,25.0,76.0,3.142857142857143,2,Olaf,7,8,3,10084,176,19,1.25,200,Belveth,4,7,5,9905,26,21,1.2857142857142858,163,Taliyah,2,13,6,9247,177,12,0.6153846153846154,236,Lucian,4,10,3,9521,168,20,0.7,267,Nami,3,6,9,7181,27,73,2.0
KR_7958136602,1890,0,0,1,0,0,1,0,1,0,4,0,1,246,800,78,145,266,1,0,1,1,0,1,3,1,9,1,0,126,246,142,234,11,2,Olaf,9,11,5,13622,189,24,1.2727272727272727,60,Elise,9,7,5,12962,21,42,2.0,61,Orianna,2,2,5,12943,267,19,3.5,81,Ezreal,6,11,3,13319,232,16,0.8181818181818182,555.0,Pyke,0.0,9.0,8.0,7965.0,25.0,116.0,0.8888888888888888,54,Malphite,4,5,16,11388,193,31,4.0,80,Pantheon,13,6,11,15200,13,32,4.0,163,Taliyah,3,4,13,12716,233,27,4.0,804,Yunara,15,5,12,18013,252,40,5.4,497,Rakan,5,6,28,10830,37,105,5.5
KR_7958103249,1943,1,1,1,1,1,1,1,4,1,8,1,1,78,166,245,60,246,0,0,0,0,0,0,0,0,1,0,0,114,166,11,517,246,68,Rumble,12,8,4,15728,213,29,2.0,64,LeeSin,14,1,12,16666,32,47,26.0,163,Taliyah,10,4,13,16198,268,36,5.75,81,Ezreal,6,6,16,15413,237,31,3.6666666666666665,89.0,Leona,1.0,4.0,22.0,10531.0,37.0,130.0,5.75,799,Ambessa,3,10,4,11178,214,25,0.7,203,Kindred,5,11,5,13023,34,41,0.9090909090909091,103,Ahri,7,9,6,14498,241,37,1.4444444444444444,804,Yunara,5,5,7,15816,312,27,2.4,12,Alistar,3,8,13,9675,38,113,2.0
