matchId,gameDuration,team_100_first_blood,team_100_first_tower,team_100_first_inhibitor,team_100_first_dragon,team_100_first_riftHerald,team_100_first_baron,team_100_dragon_kills,team_100_baron_kills,team_100_tower_kills,team_100_inhibitor_kills,team_100_riftHerald_kills,team_100_ban_1_championId,team_100_ban_1_pickTurn,team_100_ban_2_championId,team_100_ban_2_pickTurn,team_100_ban_3_championId,team_100_ban_3_pickTurn,team_100_ban_4_championId,team_100_ban_4_pickTurn,team_100_ban_5_championId,team_100_ban_5_pickTurn,team_100_win,team_100_teamEarlySurrendered,team_200_first_blood,team_200_first_tower,team_200_first_inhibitor,team_200_first_dragon,team_200_first_riftHerald,team_200_first_baron,team_200_dragon_kills,team_200_baron_kills,team_200_tower_kills,team_200_inhibitor_kills,team_200_riftHerald_kills,team_200_ban_1_championId,team_200_ban_1_pickTurn,team_200_ban_2_championId,team_200_ban_2_pickTurn,team_200_ban_3_championId,team_200_ban_3_pickTurn,team_200_ban_4_championId,team_200_ban_4_pickTurn,team_200_ban_5_championId,team_200_ban_5_pickTurn,team_200_win,team_200_teamEarlySurrendered,team_100_top_championId,team_100_top_championName,team_100_top_kills,team_100_top_goldEarned,team_100_top_totalMinionsKilled,team_100_top_visionScore,team_100_top_enemyChampionImmobilizations,team_100_top_kda,team_100_jungle_championId,team_100_jungle_championName,team_100_jungle_kills,team_100_jungle_goldEarned,team_100_jungle_totalMinionsKilled,team_100_jungle_visionScore,team_100_jungle_enemyChampionImmobilizations,team_100_jungle_kda,team_100_mid_championId,team_100_mid_championName,team_100_mid_kills,team_100_mid_goldEarned,team_100_mid_totalMinionsKilled,team_100_mid_visionScore,team_100_mid_enemyChampionImmobilizations,team_100_mid_kda,team_100_adc_championId,team_100_adc_championName,team_100_adc_kills,team_100_adc_goldEarned,team_100_adc_totalMinionsKilled,team_100_adc_visionScore,team_100_adc_enemyChampionImmobilizations,team_100_adc_kda,team_100_support_championId,team_100_support_championName,team_100_support_kills,team_100_support_goldEarned,team_100_support_totalMinionsKilled,team_100_support_visionScore,team_100_support_enemyChampionImmobilizations,team_100_support_kda,team_200_top_championId,team_200_top_championName,team_200_top_kills,team_200_top_goldEarned,team_200_top_totalMinionsKilled,team_200_top_visionScore,team_200_top_enemyChampionImmobilizations,team_200_top_kda,team_200_jungle_championId,team_200_jungle_championName,team_200_jungle_kills,team_200_jungle_goldEarned,team_200_jungle_totalMinionsKilled,team_200_jungle_visionScore,team_200_jungle_enemyChampionImmobilizations,team_200_jungle_kda,team_200_mid_championId,team_200_mid_championName,team_200_mid_kills,team_200_mid_goldEarned,team_200_mid_totalMinionsKilled,team_200_mid_visionScore,team_200_mid_enemyChampionImmobilizations,team_200_mid_kda,team_200_adc_championId,team_200_adc_championName,team_200_adc_kills,team_200_adc_goldEarned,team_200_adc_totalMinionsKilled,team_200_adc_visionScore,team_200_adc_enemyChampionImmobilizations,team_200_adc_kda,team_200_support_championId,team_200_support_championName,team_200_support_kills,team_200_support_goldEarned,team_200_support_totalMinionsKilled,team_200_support_visionScore,team_200_support_enemyChampionImmobilizations,team_200_support_kda
EUW1_7517331727,1718,True,False,False,False,True,False,0,0,3,0,1,117,1,114,2,107,3,711,4,78,5,False,False,False,True,True,True,False,True,4,1,10,2,0,36,6,86,7,902,8,142,9,119,10,True,False,875.0,Sett,6.0,10653.0,187.0,14.0,0.0,1.2857142857142858,91.0,Talon,7.0,13198.0,56.0,29.0,0.0,3.25,131,Diana,8,12483,192,20,0,1.375,222.0,Jinx,1.0,8075.0,145.0,10.0,0.0,0.2,526.0,Rell,1.0,7131.0,55.0,72.0,0.0,0.7142857142857143,157,Yasuo,0,10738,229,18,0,1.1428571428571428,9,FiddleSticks,12,14585,55,65,0,10.0,69,Cassiopeia,3,11559,191,24,0,1.0,523,Aphelios,16,17328,206,11,0,12.0,432.0,Bard,5.0,9923.0,20.0,81.0,0.0,5.0
EUW1_7509322616,1709,False,True,False,False,False,False,0,0,3,0,0,804,1,555,2,887,3,10,4,901,5,False,False,True,False,True,True,True,True,4,1,10,1,1,11,6,80,7,29,8,119,9,114,10,True,False,82.0,Mordekaiser,7.0,12300.0,176.0,15.0,0.0,1.8333333333333333,246.0,Qiyana,6.0,11683.0,56.0,34.0,0.0,1.2857142857142858,157,Yasuo,7,12678,192,14,0,1.0,42.0,Corki,4.0,10949.0,196.0,18.0,0.0,0.7,267.0,Nami,0.0,6937.0,18.0,69.0,0.0,2.0,24,Jax,9,14148,212,35,0,2.3333333333333335,120,Hecarim,12,14767,42,21,0,6.333333333333333,134,Syndra,6,12538,190,17,0,2.0,235,Senna,9,14192,179,16,0,12.0,432.0,Bard,5.0,10819.0,15.0,65.0,0.0,4.5
EUW1_7509243675,1543,False,True,False,False,False,False,0,0,1,0,0,36,1,107,2,114,3,11,4,157,5,False,False,True,False,True,True,True,False,4,0,8,1,1,11,6,29,7,84,8,119,9,266,10,True,False,901.0,Smolder,3.0,9566.0,196.0,11.0,0.0,1.3333333333333333,203.0,Kindred,6.0,10134.0,16.0,20.0,0.0,1.3333333333333333,3,Galio,6,10904,147,16,0,1.7142857142857142,222.0,Jinx,3.0,8449.0,136.0,15.0,0.0,0.6666666666666666,902.0,Milio,1.0,6420.0,20.0,44.0,0.0,1.3333333333333333,133,Quinn,7,11373,161,19,0,3.0,141,Kayn,18,15401,27,15,0,8.666666666666666,101,Xerath,6,11543,175,19,0,11.0,21,MissFortune,8,11353,160,6,0,3.4,497.0,Rakan,1.0,8141.0,28.0,74.0,0.0,6.5
EUW1_7509193063,1146,False,True,False,False,False,False,0,0,1,0,0,15,1,246,2,950,3,119,4,29,5,False,False,True,False,False,True,True,False,3,0,3,0,1,9,6,53,7,800,8,106,9,122,10,True,False,19.0,Warwick,6.0,7329.0,117.0,11.0,0.0,2.6666666666666665,76.0,Nidalee,6.0,9219.0,15.0,14.0,0.0,5.0,84,Akali,2,6085,126,14,0,0.75,804.0,Yunara,1.0,6485.0,137.0,6.0,0.0,0.8333333333333334,497.0,Rakan,2.0,5478.0,27.0,23.0,0.0,2.5,31,Chogath,3,6917,125,10,0,1.5,421,RekSai,3,6702,5,14,0,2.6666666666666665,101,Xerath,4,8414,166,15,0,4.5,145,Kaisa,7,9566,144,7,0,3.5,37.0,Sona,2.0,5868.0,6.0,26.0,0.0,2.6
EUW1_7508909082,1555,True,False,False,False,False,False,0,0,2,0,0,119,1,38,2,35,3,103,4,235,5,False,False,False,True,True,True,True,False,4,0,10,2,1,56,6,28,7,3,8,157,9,92,10,True,False,893.0,Aurora,3.0,8780.0,155.0,12.0,0.0,0.6,5.0,XinZhao,5.0,9852.0,19.0,33.0,0.0,2.0,29,Twitch,6,9771,167,13,0,1.0,804.0,Yunara,3.0,10615.0,194.0,16.0,0.0,1.3333333333333333,497.0,Rakan,0.0,6109.0,16.0,68.0,0.0,1.25,126,Jayce,9,12205,166,22,0,2.8,875,Sett,4,10671,18,18,0,10.0,84,Akali,17,14117,191,12,0,5.25,236,Lucian,5,11009,191,17,0,1.8,902.0,Milio,2.0,8796.0,17.0,53.0,0.0,10.5
EUW1_7508869243,2006,False,False,True,False,False,True,3,2,8,1,0,53,1,2,2,800,3,804,4,246,5,True,False,True,True,False,True,True,False,2,0,4,0,1,119,6,115,7,427,8,166,9,246,10,False,False,74.0,Heimerdinger,3.0,13889.0,250.0,19.0,0.0,1.3333333333333333,48.0,Trundle,3.0,13913.0,44.0,31.0,0.0,2.1,157,Yasuo,6,14844,239,20,0,2.8,101.0,Xerath,15.0,18654.0,239.0,19.0,0.0,6.5,57.0,Maokai,2.0,9766.0,35.0,88.0,0.0,2.4444444444444446,893,Aurora,7,12625,212,28,0,3.3333333333333335,120,Hecarim,13,16461,56,16,0,4.75,90,Malzahar,5,14276,277,42,0,2.142857142857143,22,Ashe,2,10891,211,27,0,1.5714285714285714,76.0,Nidalee,7.0,9982.0,16.0,77.0,0.0,2.875
EUW1_7508851515,1013,False,False,False,False,False,False,0,0,0,0,0,523,1,246,2,67,3,3,4,-1,5,False,False,True,True,False,True,False,False,2,0,4,0,0,119,6,43,7,80,8,157,9,58,10,True,False,72.0,Skarner,2.0,6588.0,113.0,6.0,0.0,0.6,91.0,Talon,6.0,6731.0,29.0,10.0,0.0,1.1666666666666667,105,Fizz,1,5234,108,5,0,0.5,901.0,Smolder,1.0,5803.0,140.0,8.0,0.0,0.6,497.0,Rakan,2.0,5074.0,16.0,24.0,0.0,1.0,122,Darius,4,8662,160,10,0,5.0,76,Nidalee,17,11572,18,15,0,10.5,55,Katarina,3,5937,102,5,0,1.5,804,Yunara,4,8079,148,10,0,4.5,44.0,Taric,0.0,5722.0,26.0,32.0,0.0,5.0
EUW1_7507963628,1490,True,False,False,False,False,False,0,0,2,0,0,29,1,114,2,55,3,887,4,78,5,False,False,False,True,True,True,True,False,3,0,10,2,1,902,6,897,7,117,8,804,9,7,10,True,False,6.0,Urgot,5.0,10151.0,171.0,6.0,0.0,0.6666666666666666,35.0,Shaco,4.0,9327.0,18.0,10.0,0.0,2.0,134,Syndra,1,8329,170,12,0,0.8571428571428571,42.0,Corki,5.0,10469.0,199.0,11.0,0.0,1.5,80.0,Pantheon,6.0,8357.0,48.0,29.0,0.0,1.2222222222222223,893,Aurora,6,11265,200,16,0,3.25,246,Qiyana,11,14706,47,31,0,17.0,157,Yasuo,4,12328,201,8,0,2.4,360,Samira,5,9442,123,12,0,2.75,517.0,Sylas,11.0,10426.0,27.0,60.0,0.0,3.4285714285714284
EUW1_7506939511,1958,True,True,True,True,True,True,2,1,10,2,1,111,1,29,2,234,3,10,4,799,5,True,False,False,False,False,False,False,False,2,0,5,0,0,555,6,157,7,55,8,804,9,-1,10,False,False,420.0,Illaoi,5.0,14458.0,248.0,23.0,0.0,1.8,106.0,Volibear,13.0,17111.0,25.0,25.0,0.0,3.8333333333333335,134,Syndra,10,15682,244,18,0,3.0,81.0,Ezreal,14.0,15900.0,217.0,12.0,0.0,5.75,518.0,Neeko,5.0,12264.0,39.0,101.0,0.0,4.142857142857143,78,Poppy,3,10981,195,17,0,1.0,887,Gwen,5,13961,64,30,0,1.0,62,MonkeyKing,8,14992,245,17,0,0.9,202,Jhin,6,14114,213,14,0,0.9166666666666666,101.0,Xerath,5.0,10966.0,55.0,67.0,0.0,1.3
EUW1_7512192924,1383,True,True,True,True,True,False,3,0,11,3,1,201,1,29,2,35,3,91,4,517,5,True,False,False,False,False,False,False,False,0,0,0,0,0,107,6,8,7,238,8,246,9,800,10,False,False,64.0,LeeSin,9.0,9710.0,127.0,17.0,0.0,3.6666666666666665,120.0,Hecarim,8.0,10742.0,26.0,11.0,0.0,4.75,38,Kassadin,11,11977,134,6,0,3.5,119.0,Draven,14.0,15380.0,180.0,9.0,0.0,3.6,526.0,Rell,3.0,9360.0,25.0,66.0,0.0,6.75,41,Gangplank,4,10074,141,8,0,1.3333333333333333,131,Diana,4,9474,52,16,0,0.8571428571428571,202,Jhin,9,9924,120,11,0,1.2727272727272727,804,Yunara,2,8014,123,13,0,0.9,3.0,Galio,3.0,7052.0,27.0,48.0,0.0,1.4444444444444444
