SummonerName,PUUID,LeagueId,LeaguePoints,Wins,Losses,Rank
,Ng3sCEsYNtSXuwhBxU6GOKwe5xRGWrAc1e8XL9uYNdRyO5cd7iZkV5_xI50BY469YO7DfSdB-xMD2w,2712dc98-2d41-45ca-9883-104aa7d418e9,5,80,63,I
,cu_Qqe1yi5v5PYuwEZe1rh5l5nJBReAudn60e6l_H-Mm0mXGPiBA1x_U2PF-lOUZQVrRvu9DqrCZYA,a3b9979c-92c1-42fa-be63-fb733e9094a1,36,97,108,I
,jWIUt3loc-eaUbJyFQXXZle_sWON7iTeJ8JsN5RNFgt2_ExkG8SnoC8v3ODcgaKiKdwvtYsux7aXCw,7b7a6ae0-c0f5-4261-9b4f-fb32d2474ca4,75,108,120,I
,nQ7rdP2PW0_ye9K2rw7SSNrPe9hog2Ex1VTTJSfuyzMb8W3KwaSUMcd2T5Lcu5332mneBb1UMsCWOg,da564a56-8574-45f8-b0a5-c74345f9b743,55,226,222,I
,NgttIxV_ulWw_Sqz1zqmYaN6_TtZIdFen_kC2SjvX9-vD-e7fLakzLmTxexQjeGBc7IeBCEScO7CKQ,46600a84-4b6f-4e8f-8d3e-6985c957b867,26,488,496,I
,FoqxXH16qap_qekas-ylf4RZzf8q8ix0c2fmYPSG7Hh6Y3DzY3qKxPO_rCieBg5LLA1cNS2-BcbMFg,57cf23b4-8545-4383-b02b-c57c52a7f7a7,75,153,136,I
,XImrUX6cvpFTwdNfLnsRgscKQkYYC-ePbFlFJnNFDejJEd9k1x_4_lrf6elh9Mw4tUurs_6gqNqVrw,8fa3dad0-1517-4c2b-87dd-1d9541b3697b,75,79,70,I
,sZScGL-uHT-b6yLRGW5QiRWVrK9_jgVcPEvgTb_Ryyv_mcrzHLDvt6_QZ_PWJSlbWSMNup3dRuUdfQ,b41c6ec5-ebe7-4dd0-b37c-2a40e8ae4757,75,96,76,I
,Hib8w_t80cytuIU76-XDHdCRYq2-5m1ho2aJ0nBzlxzWlkf_6zlBfFblHL__SPkMxuTtFKHi0yB4rQ,1323d3ad-1a76-4e4f-928d-93ec89111e10,75,163,143,I
,zCz2yJmcp9DqYjYAuxC_wvXAYNANt6zrkAmLsRfG238BIW94TUzxoEvkUjtrLLu5pBW3NmK4EyJ85Q,5fadd346-cae6-48d8-b12b-d64fb7896b19,75,149,107,I
