,matchId,gameDuration,team_100_first_blood,team_100_first_tower,team_100_first_inhibitor,team_100_first_dragon,team_100_first_riftHerald,team_100_first_baron,team_100_dragon_kills,team_100_baron_kills,team_100_tower_kills,team_100_inhibitor_kills,team_100_riftHerald_kills,team_100_ban_1_championId,team_100_ban_1_pickTurn,team_100_ban_2_championId,team_100_ban_2_pickTurn,team_100_ban_3_championId,team_100_ban_3_pickTurn,team_100_ban_4_championId,team_100_ban_4_pickTurn,team_100_ban_5_championId,team_100_ban_5_pickTurn,team_100_win,team_100_teamEarlySurrendered,team_200_first_blood,team_200_first_tower,team_200_first_inhibitor,team_200_first_dragon,team_200_first_riftHerald,team_200_first_baron,team_200_dragon_kills,team_200_baron_kills,team_200_tower_kills,team_200_inhibitor_kills,team_200_riftHerald_kills,team_200_ban_1_championId,team_200_ban_1_pickTurn,team_200_ban_2_championId,team_200_ban_2_pickTurn,team_200_ban_3_championId,team_200_ban_3_pickTurn,team_200_ban_4_championId,team_200_ban_4_pickTurn,team_200_ban_5_championId,team_200_ban_5_pickTurn,team_200_win,team_200_teamEarlySurrendered,team_100_top_championId,team_100_top_championName,team_100_top_kills,team_100_top_goldEarned,team_100_top_totalMinionsKilled,team_100_top_visionScore,team_100_top_enemyChampionImmobilizations,team_100_top_kda,team_100_jungle_championId,team_100_jungle_championName,team_100_jungle_kills,team_100_jungle_goldEarned,team_100_jungle_totalMinionsKilled,team_100_jungle_visionScore,team_100_jungle_enemyChampionImmobilizations,team_100_jungle_kda,team_100_mid_championId,team_100_mid_championName,team_100_mid_kills,team_100_mid_goldEarned,team_100_mid_totalMinionsKilled,team_100_mid_visionScore,team_100_mid_enemyChampionImmobilizations,team_100_mid_kda,team_100_adc_championId,team_100_adc_championName,team_100_adc_kills,team_100_adc_goldEarned,team_100_adc_totalMinionsKilled,team_100_adc_visionScore,team_100_adc_enemyChampionImmobilizations,team_100_adc_kda,team_100_support_championId,team_100_support_championName,team_100_support_kills,team_100_support_goldEarned,team_100_support_totalMinionsKilled,team_100_support_visionScore,team_100_support_enemyChampionImmobilizations,team_100_support_kda,team_200_top_championId,team_200_top_championName,team_200_top_kills,team_200_top_goldEarned,team_200_top_totalMinionsKilled,team_200_top_visionScore,team_200_top_enemyChampionImmobilizations,team_200_top_kda,team_200_jungle_championId,team_200_jungle_championName,team_200_jungle_kills,team_200_jungle_goldEarned,team_200_jungle_totalMinionsKilled,team_200_jungle_visionScore,team_200_jungle_enemyChampionImmobilizations,team_200_jungle_kda,team_200_mid_championId,team_200_mid_championName,team_200_mid_kills,team_200_mid_goldEarned,team_200_mid_totalMinionsKilled,team_200_mid_visionScore,team_200_mid_enemyChampionImmobilizations,team_200_mid_kda,team_200_adc_championId,team_200_adc_championName,team_200_adc_kills,team_200_adc_goldEarned,team_200_adc_totalMinionsKilled,team_200_adc_visionScore,team_200_adc_enemyChampionImmobilizations,team_200_adc_kda,team_200_support_championId,team_200_support_championName,team_200_support_kills,team_200_support_goldEarned,team_200_support_totalMinionsKilled,team_200_support_visionScore,team_200_support_enemyChampionImmobilizations,team_200_support_kda
count,696,696.0,696,696,696,696,696,696,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696,696,696,696,696,696,696,696,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696,696,695.0,695,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695,695.0,695.0,695.0,695.0,695.0,695.0,696.0,696,696.0,696.0,696.0,696.0,696.0,696.0,693.0,693,693.0,693.0,693.0,693.0,693.0,693.0,695.0,695,695.0,695.0,695.0,695.0,695.0,695.0,696.0,696,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696,696.0,696.0,696.0,696.0,696.0,696.0,695.0,695,695.0,695.0,695.0,695.0,695.0,695.0
unique,696,,2,2,2,2,2,2,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,2,1,,92,,,,,,,,57,,,,,,,,80,,,,,,,,47,,,,,,,,56,,,,,,,,94,,,,,,,,62,,,,,,,,88,,,,,,,,46,,,,,,,,66,,,,,,
top,EUW1_7476075193,,True,False,False,False,True,False,,,,,,,,,,,,,,,,False,False,False,False,False,True,False,False,,,,,,,,,,,,,,,,True,False,,Ambessa,,,,,,,,LeeSin,,,,,,,,Orianna,,,,,,,,Kaisa,,,,,,,,Nami,,,,,,,,Riven,,,,,,,,JarvanIV,,,,,,,,Syndra,,,,,,,,Kaisa,,,,,,,,Nami,,,,,,
freq,1,,348,356,406,427,362,510,,,,,,,,,,,,,,,,355,696,360,360,408,408,417,458,,,,,,,,,,,,,,,,355,696,,36,,,,,,,,43,,,,,,,,40,,,,,,,,78,,,,,,,,61,,,,,,,,31,,,,,,,,34,,,,,,,,38,,,,,,,,77,,,,,,,,62,,,,,,
mean,,1657.2471264367816,,,,,,,1.6221264367816093,0.32471264367816094,5.662356321839081,0.8261494252873564,0.5201149425287356,213.23419540229884,1.0,198.4971264367816,2.0,212.01867816091954,3.0,202.79310344827587,4.0,213.34195402298852,5.0,,,,,,,,,2.0833333333333335,0.4209770114942529,5.672413793103448,0.8635057471264368,0.40086206896551724,210.52011494252875,6.0,207.30316091954023,7.0,216.89511494252875,8.0,200.27586206896552,9.0,210.42241379310346,10.0,,,231.90791366906475,,5.159712230215828,11586.230215827338,189.87194244604316,15.739568345323741,0.0,2.794580102152045,164.27482014388488,,7.330935251798561,12208.83165467626,26.49208633093525,21.471942446043165,0.0,4.259707531148496,198.03591954022988,,6.458333333333333,11897.33764367816,192.07614942528735,16.080459770114942,0.0,3.610065397565397,247.31457431457432,,7.054834054834055,12517.020202020201,200.93506493506493,15.125541125541126,0.0,3.3669683691328713,249.4935251798561,,2.302158273381295,8233.248920863309,27.237410071942445,64.87482014388489,0.0,4.057895394147594,202.98419540229884,,5.380747126436781,11692.448275862069,191.3477011494253,15.929597701149426,0.0,2.648411783379456,163.46120689655172,,7.135057471264368,12224.145114942528,27.625,22.152298850574713,0.0,4.227624765879076,225.97413793103448,,6.4094827586206895,11949.742816091954,194.49425287356323,16.33477011494253,0.0,3.6566837710220064,232.93247126436782,,7.054597701149425,12437.613505747126,197.28591954022988,15.142241379310345,0.0,3.262351905803985,261.1856115107914,,2.1712230215827337,8252.066187050359,27.897841726618704,65.74244604316547,0.0,4.165938809392046
std,,412.16835544367166,,,,,,,1.3050093044534827,0.5372658499909762,3.6721102739731233,1.1213840885454165,0.49995451707460953,250.34898469605284,0.0,237.16318637205904,0.0,240.4716371710349,0.0,240.1480424906299,0.0,249.7098535435713,0.0,,,,,,,,,1.407669979854033,0.6088717430385222,3.7637632982454607,1.1417726001575446,0.4904255717020783,235.5445602907796,0.0,247.47099250998914,0.0,245.742683881205,0.0,241.71194293821725,0.0,257.1140043597513,0.0,,,286.5855589072331,,3.638426034604558,3556.012930017505,52.60271416274781,7.54791246122658,0.0,3.4205608455850376,179.9323059922843,,4.665447968163427,3671.7400521447476,16.754959972536405,9.623548423622777,0.0,4.7733861348312425,253.64580215831393,,4.399933234723452,3701.504817779998,53.75217531593402,7.739787353507584,0.0,3.8740200951355424,272.4145075170915,,4.58287783256359,3891.1896455933356,54.42694204269251,7.426720808561521,0.0,3.5046754200866395,234.9625015175817,,2.3755923764776163,2365.664385642975,12.026377549843017,25.66729350436783,0.0,4.086290918411393,274.1628430295702,,3.9696876653489235,3834.589949871003,55.01662085449497,7.4269149154722225,0.0,3.0121580010980207,179.5992379235334,,4.580739250713059,3761.8233816130873,17.974047037505905,12.794999940783923,0.0,4.427950864110831,278.24027589253177,,4.471540286951668,3774.807547996156,55.737849622963374,7.917288119684568,0.0,4.292829303229886,262.025156203881,,4.588368981442666,3975.340284612729,55.568896921322,8.177959333102752,0.0,3.305005819919685,241.45600925142466,,2.25295977611305,2429.147044048013,13.654745866266417,26.085232106804966,0.0,4.444983426352215
min,,101.0,,,,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,2.0,-1.0,3.0,-1.0,4.0,-1.0,5.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-1.0,6.0,-1.0,7.0,-1.0,8.0,-1.0,9.0,-1.0,10.0,,,1.0,,0.0,503.0,0.0,0.0,0.0,0.0,5.0,,0.0,503.0,0.0,0.0,0.0,0.0,1.0,,0.0,503.0,0.0,0.0,0.0,0.0,10.0,,0.0,503.0,0.0,0.0,0.0,0.0,3.0,,0.0,503.0,0.0,0.0,0.0,0.0,2.0,,0.0,503.0,0.0,0.0,0.0,0.0,5.0,,0.0,503.0,0.0,0.0,0.0,0.0,1.0,,0.0,508.0,0.0,0.0,0.0,0.0,8.0,,0.0,503.0,0.0,0.0,0.0,0.0,3.0,,0.0,503.0,0.0,0.0,0.0,0.0
25%,,1495.0,,,,,,,0.0,0.0,2.0,0.0,0.0,53.0,1.0,53.0,2.0,58.0,3.0,43.0,4.0,54.0,5.0,,,,,,,,,1.0,0.0,2.0,0.0,0.0,59.0,6.0,53.0,7.0,58.0,8.0,40.0,9.0,51.0,10.0,,,54.0,,3.0,9548.5,164.0,11.0,0.0,1.0,62.0,,4.0,10060.5,14.5,15.0,0.0,1.4444444444444444,55.0,,3.0,9772.5,163.0,11.0,0.0,1.3333333333333333,51.0,,4.0,10256.0,172.0,10.0,0.0,1.3333333333333333,57.0,,1.0,6881.5,20.0,49.0,0.0,1.6,47.25,,2.0,9508.5,161.0,11.0,0.0,0.984375,60.0,,4.0,9961.75,15.0,15.0,0.0,1.5,55.0,,3.0,9871.0,165.0,11.0,0.0,1.25,51.0,,4.0,10092.25,170.75,10.0,0.0,1.3,58.0,,1.0,6956.5,20.0,51.0,0.0,1.5419580419580419
50%,,1678.0,,,,,,,2.0,0.0,5.0,0.0,1.0,117.0,1.0,111.0,2.0,119.0,3.0,117.0,4.0,117.0,5.0,,,,,,,,,2.0,0.0,5.0,0.0,0.0,119.0,6.0,117.0,7.0,119.0,8.0,114.0,9.0,111.0,10.0,,,92.0,,4.0,11638.0,195.0,15.0,0.0,1.8,107.0,,7.0,12250.0,24.0,21.0,0.0,2.6666666666666665,105.0,,6.0,11955.5,196.0,15.0,0.0,2.5,145.0,,7.0,12486.0,204.0,14.0,0.0,2.333333333333333,147.0,,2.0,8276.0,26.0,66.0,0.0,2.857142857142857,86.0,,5.0,11589.5,193.5,15.0,0.0,1.707142857142857,107.0,,6.0,12266.0,24.0,20.0,0.0,2.75,115.0,,6.0,12103.0,199.0,15.0,0.0,2.1833333333333336,145.0,,7.0,12499.0,202.5,14.0,0.0,2.2857142857142856,161.0,,2.0,8279.0,26.0,66.0,0.0,2.7142857142857144
75%,,1878.25,,,,,,,3.0,1.0,9.0,1.0,1.0,238.0,1.0,234.0,2.0,245.25,3.0,238.0,4.0,238.5,5.0,,,,,,,,,3.0,1.0,9.0,2.0,1.0,246.0,6.0,236.5,7.0,246.0,8.0,238.0,9.0,246.0,10.0,,,266.0,,7.0,13962.5,220.5,20.0,0.0,3.2,234.0,,10.0,14645.5,35.0,27.0,0.0,5.0,166.0,,9.0,14208.75,224.0,21.0,0.0,4.0,236.0,,10.0,14758.0,231.0,19.0,0.0,4.0,412.0,,3.0,9765.0,33.0,79.0,0.0,5.0,164.0,,7.0,14074.0,225.0,20.0,0.0,3.333333333333333,234.0,,10.0,14622.5,36.0,27.0,0.0,5.2,238.0,,9.0,14269.5,229.0,21.0,0.0,4.25,235.0,,10.0,14872.5,230.0,19.0,0.0,4.041666666666667,432.0,,3.0,9789.5,33.0,82.0,0.0,5.0
