iter	Accuracy	Logloss
0	0.5213041061	0.6929075505
1	0.5224400029	0.6926441072
2	0.5226937671	0.6924776653
3	0.5223433308	0.6923382598
4	0.5229475312	0.6921518642
5	0.5236846557	0.6920096363
6	0.5236725717	0.6919049542
7	0.5245667883	0.6917564949
8	0.5257389371	0.6916268218
9	0.5263189695	0.6915109013
10	0.5267539938	0.6913748248
11	0.5266452377	0.6912579056
12	0.5266814897	0.6911120729
13	0.5267298257	0.6910429551
14	0.5267539938	0.6909673661
15	0.527176934	0.690877906
16	0.52704401	0.6908003622
17	0.5276965464	0.6906941857
18	0.5276119583	0.6906189726
19	0.5278536385	0.6905289047
20	0.5283611668	0.6904436818
21	0.5285061749	0.6903624642
22	0.5281557387	0.6902519407
23	0.5284820069	0.6901867241
24	0.528590763	0.6901126199
25	0.5288928632	0.6900513863
26	0.5293037195	0.6899798223
27	0.5300166759	0.689881922
28	0.5299441719	0.6898014323
29	0.5303671122	0.6897375631
30	0.5304879522	0.6896856039
31	0.5307054644	0.6896354525
32	0.5309713126	0.6895665774
33	0.5309833966	0.6895155476
34	0.531611765	0.6894595042
35	0.5320709573	0.6893667711
36	0.5327355777	0.6893227655
37	0.5325664016	0.6892943355
38	0.5326993257	0.6892535185
39	0.5335452063	0.6891734494
40	0.5335572903	0.6891161203
41	0.5341131547	0.6890392942
42	0.5344877589	0.6889565577
43	0.5348019431	0.6889207489
44	0.5348261111	0.6888867199
45	0.5353336395	0.6888167475
46	0.5358895038	0.6887424109
47	0.5356236557	0.6886874471
48	0.5361191	0.6886422243
49	0.5365178722	0.688568847
50	0.5366266283	0.6885320946
51	0.5370858206	0.6884689339
52	0.5378591971	0.6883910963
53	0.5373275008	0.6883330035
54	0.537653769	0.6882753329
55	0.5377504411	0.6882372546
56	0.5385721536	0.6881259495
57	0.5385238176	0.6880498896
58	0.539115934	0.6879921633
59	0.5392851101	0.6879269291
60	0.5395509583	0.6878667601
61	0.5396113783	0.6878201335
62	0.5398168064	0.6877457444
63	0.5397563864	0.68766807
64	0.5401309906	0.6876224949
65	0.5402034947	0.6876142871
66	0.5404814269	0.6875883009
67	0.5403243348	0.6875349884
68	0.5403001668	0.6874995806
69	0.5411097953	0.6873999322
70	0.5417744157	0.6873217152
71	0.5415085676	0.6872992081
72	0.5418469198	0.6872196648
73	0.5423665321	0.6871616767
74	0.5428861445	0.6871121405
75	0.5427169684	0.6870522881
76	0.5427290524	0.6870062416
77	0.5433936728	0.6869377425
78	0.543719941	0.6868822788
79	0.543744109	0.6868434141
80	0.5438407811	0.6868052069
81	0.5438770331	0.6867615047
82	0.5442153854	0.6867181785
83	0.5448195858	0.6866723243
84	0.5447470817	0.6866257364
85	0.5454237862	0.6865476292
86	0.5454358702	0.6864983376
87	0.5457258864	0.6864516228
88	0.5460884066	0.6864013293
89	0.5467892791	0.6863074589
90	0.5473209754	0.6862394686
91	0.5477680837	0.6861769508
92	0.5483239481	0.6861098939
93	0.548227276	0.6860757171
94	0.5483722841	0.6859734115
95	0.5487589724	0.6858968952
96	0.5487468884	0.685853676
97	0.5491335766	0.6857932198
98	0.549641105	0.6857329407
99	0.5499432052	0.6857186486
100	0.5503540614	0.6856626831
101	0.5504507335	0.685617463
102	0.5505111535	0.685569126
103	0.5506440776	0.6855301522
104	0.5505836576	0.6855015978
105	0.55116369	0.6854647874
106	0.5514778742	0.6854164646
107	0.5513691181	0.6853674283
108	0.5516349663	0.6853396411
109	0.5525533509	0.6852646375
110	0.5523962588	0.6852229412
111	0.5524325108	0.6852061198
112	0.552758779	0.6851638761
113	0.552637939	0.6851179856
114	0.5530850472	0.6850500292
115	0.5533025594	0.6849964843
116	0.5532300553	0.684956598
117	0.5530729632	0.6848860854
118	0.5532421394	0.6848563308
119	0.5535925756	0.6848122175
120	0.5540275999	0.684766209
121	0.5541001039	0.6847135729
122	0.5545472122	0.6846454538
123	0.5546197163	0.6845806908
124	0.5547405563	0.6845264031
125	0.5551151606	0.684480427
126	0.5553326727	0.6844495504
127	0.5551272446	0.6844106434
128	0.5554172608	0.6843840056
129	0.5558039491	0.6843580961
130	0.5561302173	0.6842848782
131	0.5560335452	0.6842237318
132	0.5562873094	0.6841705485
133	0.5563718974	0.6841212066
134	0.5559852092	0.6840752024
135	0.5562268893	0.684037055
136	0.5566619136	0.6839690508
137	0.5569760978	0.683915259
138	0.5575923822	0.6838644924
139	0.5579428185	0.6837991432
140	0.5583657588	0.6837450083
141	0.558716195	0.6836708254
142	0.5590182952	0.6836179824
143	0.5592478913	0.6835941167
144	0.5589095391	0.6835515891
145	0.5591028832	0.6835028193
146	0.5592237233	0.6834530882
147	0.5592720594	0.6833992404
148	0.5595379075	0.6833429596
149	0.5597312517	0.6832959087
150	0.5597795877	0.6832700708
151	0.5598762598	0.6832123277
152	0.5600575199	0.6831322985
153	0.560226696	0.6830948302
154	0.5607583923	0.6830272545
155	0.5607100563	0.6829789484
156	0.5606617203	0.6829374402
157	0.5607825604	0.6828933588
158	0.5612538367	0.6828305488
159	0.5614350968	0.6827774305
160	0.5615801049	0.6827144529
161	0.5615196848	0.6826667598
162	0.5616405249	0.682631052
163	0.561737197	0.6826016124
164	0.5619667931	0.6825675909
165	0.5619909612	0.6825105404
166	0.5628610097	0.6824673864
167	0.5631268579	0.6824087872
168	0.5633443701	0.6823172228
169	0.56328395	0.6822995493
170	0.563247698	0.6822534609
171	0.5634410421	0.6822196386
172	0.5634410421	0.6821776391
173	0.5633806221	0.6821510585
174	0.5637552263	0.6820954733
175	0.5638760664	0.6820386774
176	0.5641419146	0.6819928643
177	0.5643594267	0.6819279484
178	0.5648911231	0.681896411
179	0.5656886676	0.6818275589
180	0.5657490877	0.6817926595
181	0.5658820117	0.6817450633
182	0.5656040796	0.6817002244
183	0.5659061798	0.68167559
184	0.5657370036	0.6816399654
185	0.5656524156	0.6816057352
186	0.5657732557	0.6815648241
187	0.5656161636	0.6815104141
188	0.566196196	0.6814653655
189	0.5660995239	0.6813907299
190	0.5661357759	0.681359276
191	0.5667037243	0.6812995615
192	0.5667641443	0.6812579348
193	0.5669937405	0.6811643095
194	0.5673079247	0.6811143222
195	0.5672354206	0.6810883442
196	0.5675375208	0.6810203173
197	0.5675737729	0.6809853857
198	0.5675737729	0.6809388266
199	0.5681779733	0.6808748334
200	0.5685404935	0.6808459999
201	0.5689634338	0.6807833004
202	0.5687580057	0.6807204922
203	0.569241366	0.6806420106
204	0.5702564227	0.6805505364
205	0.5703289267	0.6805090919
206	0.5700993305	0.6804790708
207	0.5713077313	0.680388754
208	0.5713802354	0.6803706853
209	0.5716702516	0.6803172156
210	0.5720811079	0.6802592601
211	0.5725161322	0.6802077691
212	0.5727094763	0.6801373589
213	0.5727336443	0.6800956216
214	0.5727578123	0.6800522186
215	0.5731565846	0.6800002642
216	0.5733136767	0.6799649011
217	0.573797037	0.6799167722
218	0.5740991372	0.679877051
219	0.5741837253	0.6798130372
220	0.5743287334	0.6797721556
221	0.5745945815	0.6797214855
