iter	Passed	Remaining
0	319	159440
1	644	160568
2	868	143868
3	1100	136435
4	1322	130912
5	1620	133385
6	1843	129813
7	2076	127708
8	2311	126090
9	2526	123807
10	2745	122037
11	2959	120368
12	3183	119260
13	3391	117745
14	3613	116833
15	3820	115561
16	4026	114396
17	4246	113706
18	4452	112727
19	4660	111847
20	4859	110850
21	5075	110272
22	5279	109491
23	5494	108977
24	5703	108358
25	5908	107718
26	6134	107466
27	6355	107141
28	6567	106668
29	6808	106673
30	7026	106310
31	7249	106027
32	7478	105838
33	7684	105325
34	7896	104910
35	8103	104442
36	8309	103978
37	8517	103555
38	8713	103000
39	8916	102535
40	9122	102124
41	9339	101841
42	9733	103443
43	10121	104898
44	10383	104984
45	10601	104631
46	10910	105158
47	11184	105325
48	11519	106024
49	11794	106152
50	12186	107286
51	12437	107151
52	12677	106925
53	13000	107378
54	13335	107895
55	13607	107891
56	13972	108592
57	14335	109248
58	14614	109237
59	14930	109487
60	15231	109613
61	15627	110403
62	15950	110638
63	16348	111373
64	16704	111794
65	16997	111773
66	17195	111131
67	17404	110570
68	17637	110167
69	17814	109431
70	17989	108695
71	18157	107934
72	18355	107369
73	18539	106725
74	18741	106201
75	18957	105764
76	19100	104928
77	19294	104389
78	19484	103836
79	19668	103261
80	19881	102845
81	20097	102449
82	20276	101871
83	20479	101422
84	20676	100949
85	20896	100595
86	21098	100159
87	21284	99648
88	21420	98920
89	21635	98561
90	21870	98295
91	22059	97830
92	22226	97272
93	22445	96947
94	22667	96633
95	22862	96212
96	23064	95823
97	23246	95356
98	23463	95039
99	23646	94587
100	23857	94250
101	24031	93769
102	24218	93346
103	24416	92972
104	24562	92402
105	24777	92096
106	24962	91684
107	25160	91322
108	25376	91030
109	25589	90726
110	25789	90379
111	26000	90072
112	26237	89858
113	26453	89570
114	26686	89342
115	26924	89128
116	27163	88920
117	27334	88488
118	27560	88240
119	27796	88022
120	28008	87728
121	28180	87314
122	28382	86994
123	28641	86847
124	28822	86466
125	29048	86222
126	29268	85960
127	29484	85690
128	29664	85314
129	29847	84950
130	30076	84720
131	30308	84495
132	30475	84094
133	30705	83866
134	30917	83591
135	31098	83233
136	31321	82990
137	31542	82741
138	31761	82487
139	31997	82278
140	32210	82011
141	32410	81711
142	32619	81433
143	32773	81023
144	33002	80798
145	33222	80552
146	33456	80341
