Nom,Heure,Fréquence,Action
\Microsoft\Windows\input\InputSettingsRestoreDataAvailable,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Management\Autopilot\DetectHardwareChange,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Management\Autopilot\DetectHardwareChange,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Management\Autopilot\RemediateHardwareChange,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Management\Provisioning\Cellular,00:00,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\ProvTool.exe /turn 7 /source CellStateChangeTask
\Microsoft\Windows\Management\Provisioning\MdmDiagnosticsCleanup,00:00,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\MdmDiagnosticsTool.exe /clean
\Microsoft\Windows\Management\Provisioning\Retry,00:00,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\ProvTool.exe /turn 5 /source ProvRetryTask
\Microsoft\Windows\Management\Provisioning\RunOnReboot,00:00,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\ProvTool.exe /turn 5 /source ContinueSessionTask
\Microsoft\Windows\Location\WindowsActionDialog,00:00,Les données de planification ne sont pas disponibles dans ce format.,%windir%\System32\WindowsActionDialog.exe
\Microsoft\Windows\Maps\MapsToastTask,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\MemoryDiagnostic\RunFullMemoryDiagnostic,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Mobile Broadband Accounts\MNO Metadata Parser,00:00,Les données de planification ne sont pas disponibles dans ce format.,%SystemRoot%\System32\MbaeParserTask.exe
\Microsoft\Windows\NlaSvc\WiFiTask,00:00,Les données de planification ne sont pas disponibles dans ce format.,%SystemRoot%\System32\WiFiTask.exe nla
\Microsoft\Windows\PCRPF\PCR Prediction Framework Firmware Update Task,00:00,Les données de planification ne sont pas disponibles dans ce format.,"%windir%\system32\rundll32.exe %windir%\system32\pcrpf.dll,NotifyFirmwareUpdateStaged"
\Microsoft\Windows\PerformanceTrace\RequestTrace,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\PerformanceTrace\WhesvcToast,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Plug and Play\Device Install Group Policy,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Maps\MapsUpdateTask,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Plug and Play\Sysprep Generalize Drivers,00:00,Les données de planification ne sont pas disponibles dans ce format.,%SystemRoot%\System32\drvinst.exe 6
