elo,server,patch,champion,role,role_pickrate,tier,winrate,winrate_evol,pickrate,games
Master+,EUNE,15.23,Rengar,jungle,89.1%,S+,52.9%,+2.4%,8.5%,2 092
Master+,EUNE,15.23,Milio,support,99.9%,S+,51.6%,-0.9%,11.8%,2 888
Master+,EUNE,15.23,Qiyana,mid,28.0%,S+,54.0%,+1.7%,3.5%,868
Master+,EUNE,15.23,Ivern,jungle,83.1%,S+,56.2%,-3.0%,1.6%,390
Master+,EUNE,15.23,Malphite,top,56.2%,S+,52.5%,-4.0%,8.3%,2 021
Master+,EUNE,15.23,Bel'Veth,jungle,95.5%,S+,54.2%,-1.3%,2.9%,720
Master+,EUNE,15.23,Twisted Fate,mid,93.6%,S+,55.4%,-1.6%,2.7%,653
Master+,EUNE,15.23,Ashe,adc,95.7%,S+,53.4%,+0.8%,8.2%,2 018
Master+,EUNE,15.23,Vayne,top,26.8%,S+,54.5%,+0.2%,2.3%,571
Master+,EUNE,15.23,Kayle,mid,42.0%,S+,52.9%,+3.7%,4.2%,1 035
Master+,EUNE,15.23,Pyke,support,98.5%,S+,51.8%,-0.3%,7.5%,1 844
Master+,EUNE,15.23,Kayle,top,56.6%,S+,52.5%,+0.1%,5.0%,1 234
Master+,EUNE,15.23,Darius,top,94.0%,S,51.8%,+0.8%,6.9%,1 682
Master+,EUNE,15.23,Tristana,adc,88.9%,S,52.1%,-1.7%,10.3%,2 511
Master+,EUNE,15.23,Fiora,top,97.3%,S,52.9%,+1.6%,5.6%,1 361
Master+,EUNE,15.23,Teemo,top,74.7%,S,54.4%,-4.7%,2.4%,599
Master+,EUNE,15.23,Qiyana,jungle,68.9%,S,52.1%,+1.1%,5.2%,1 285
Master+,EUNE,15.23,Ekko,jungle,58.1%,S,53.0%,+2.1%,6.3%,1 538
Master+,EUNE,15.23,Lulu,support,99.0%,S,50.1%,+0.7%,12.0%,2 946
Master+,EUNE,15.23,Draven,adc,96.4%,S,51.5%,-1.5%,6.9%,1 691
