elo,server,patch,champion,role,role_pickrate,tier,winrate,winrate_evol,pickrate,games
Master+,EUNE,30days,Braum,support,100.0%,S+,52.3%,+1.5%,11.8%,5 725
Master+,EUNE,30days,Qiyana,mid,42.5%,S+,54.3%,+1.7%,5.0%,2 409
Master+,EUNE,30days,Kha'Zix,jungle,99.7%,S+,52.2%,+3.1%,13.3%,6 447
Master+,EUNE,30days,Kassadin,mid,95.9%,S+,52.7%,+1.0%,10.2%,4 941
Master+,EUNE,30days,Seraphine,adc,27.1%,S+,56.4%,+0.9%,1.4%,672
Master+,EUNE,30days,Katarina,mid,95.1%,S+,51.2%,+0.9%,12.3%,5 955
Master+,EUNE,30days,Riven,top,89.1%,S+,52.5%,-0.5%,7.0%,3 407
Master+,EUNE,30days,Rengar,jungle,86.1%,S+,52.2%,+2.5%,7.5%,3 621
Master+,EUNE,30days,Ekko,jungle,68.5%,S+,51.2%,+2.1%,10.5%,5 127
Master+,EUNE,30days,Lulu,support,98.6%,S+,50.7%,+0.8%,14.9%,7 264
Master+,EUNE,30days,Smolder,adc,83.0%,S+,51.0%,-0.2%,13.2%,6 398
Master+,EUNE,30days,Irelia,top,64.7%,S+,52.4%,+2.6%,5.3%,2 574
Master+,EUNE,30days,Zoe,mid,83.3%,S+,53.7%,+0.9%,4.4%,2 117
Master+,EUNE,30days,Jinx,adc,99.7%,S+,51.8%,+0.9%,13.8%,6 691
Master+,EUNE,30days,Corki,adc,83.4%,S,52.6%,+1.1%,8.3%,4 028
Master+,EUNE,30days,Diana,jungle,78.6%,S,50.2%,-2.7%,14.3%,6 973
Master+,EUNE,30days,Gwen,jungle,49.4%,S,52.3%,+3.8%,4.9%,2 369
Master+,EUNE,30days,Fiora,top,97.6%,S,52.8%,+1.6%,5.0%,2 453
Master+,EUNE,30days,Yasuo,adc,11.9%,S,53.0%,+5.1%,2.4%,1 178
Master+,EUNE,30days,Swain,adc,32.3%,S,54.5%,+0.6%,2.4%,1 149
Master+,EUNE,30days,Miss Fortune,adc,98.8%,S,53.0%,+2.8%,7.0%,3 397
Master+,EUNE,30days,Varus,top,28.6%,S,52.4%,+4.6%,4.3%,2 072
