elo,server,patch,champion,role,role_pickrate,tier,winrate,winrate_evol,pickrate,games
Master+,EUW,16.2,Rengar,jungle,87.0%,S+,54.3%,+2.8%,6.3%,5 215
Master+,EUW,16.2,Braum,support,100.0%,S+,51.9%,+1.7%,11.5%,9 497
Master+,EUW,16.2,Gwen,top,51.9%,S+,53.6%,+3.8%,3.7%,3 076
Master+,EUW,16.2,Varus,adc,64.8%,S+,51.0%,+4.1%,14.2%,11 774
Master+,EUW,16.2,Diana,jungle,79.3%,S+,51.0%,-0.4%,12.0%,9 919
Master+,EUW,16.2,Kassadin,mid,96.4%,S+,51.7%,+0.9%,8.4%,6 918
Master+,EUW,16.2,Aphelios,adc,99.4%,S+,50.7%,-0.0%,11.8%,9 769
Master+,EUW,16.2,Riven,top,89.2%,S+,52.3%,-1.2%,5.8%,4 807
Master+,EUW,16.2,Shaco,jungle,78.7%,S,52.9%,-0.1%,4.4%,3 673
Master+,EUW,16.2,Thresh,support,99.8%,S,51.9%,+0.4%,10.7%,8 834
Master+,EUW,16.2,Rek'Sai,jungle,87.2%,S,53.9%,+1.1%,4.4%,3 619
Master+,EUW,16.2,Irelia,top,66.2%,S,52.3%,+2.6%,4.8%,3 936
Master+,EUW,16.2,Yasuo,adc,11.9%,S,53.0%,+1.1%,2.2%,1 859
Master+,EUW,16.2,Syndra,mid,92.7%,S,51.0%,-0.3%,9.3%,7 671
Master+,EUW,16.2,Kha'Zix,jungle,99.6%,S,51.2%,+2.2%,9.8%,8 088
Master+,EUW,16.2,Caitlyn,adc,99.1%,S,49.9%,+1.3%,12.8%,10 592
Master+,EUW,16.2,Anivia,mid,70.4%,S,53.6%,+1.2%,3.8%,3 173
Master+,EUW,16.2,Jinx,adc,99.7%,S,51.8%,+0.7%,10.4%,8 638
Master+,EUW,16.2,Janna,support,99.5%,S,51.7%,-0.1%,8.8%,7 313
Master+,EUW,16.2,Qiyana,mid,43.3%,S,52.1%,+0.8%,4.3%,3 555
Master+,EUW,16.2,Karthus,adc,22.4%,S,54.3%,+1.5%,1.3%,1 099
Master+,EUW,16.2,Swain,adc,33.3%,S,54.0%,-0.3%,2.4%,1 976
Master+,EUW,16.2,Akshan,mid,90.9%,S,51.8%,-0.5%,5.0%,4 122
Master+,EUW,16.2,Yasuo,mid,61.3%,S,50.5%,+1.6%,8.7%,7 219
Master+,EUW,16.2,Fiora,top,97.4%,S,51.6%,-0.7%,5.0%,4 136
Master+,EUW,16.2,Vel'Koz,mid,31.8%,S,54.0%,+3.2%,2.3%,1 930
Master+,EUW,16.2,Nami,support,99.9%,S,50.8%,-0.2%,18.7%,15 457
Master+,EUW,16.2,Ekko,jungle,68.6%,S,50.5%,+0.9%,8.2%,6 782
Master+,EUW,16.2,Lulu,support,98.7%,S,50.3%,+0.6%,11.8%,9 779
Master+,EUW,16.2,Vel'Koz,adc,20.4%,S,54.3%,+0.1%,1.1%,925
Master+,EUW,16.2,Bard,support,99.5%,S,49.9%,-1.2%,10.6%,8 795
Master+,EUW,16.2,Ivern,jungle,83.3%,A,53.6%,-0.3%,2.7%,2 269
Master+,EUW,16.2,Varus,top,28.1%,A,51.4%,+2.9%,4.9%,4 045
Master+,EUW,16.2,Vex,mid,95.8%,A,53.7%,+1.7%,1.7%,1 434
Master+,EUW,16.2,Pyke,support,98.8%,A,51.0%,+0.6%,5.8%,4 781
Master+,EUW,16.2,Nautilus,support,99.1%,A,49.5%,+0.0%,13.0%,10 765
Master+,EUW,16.2,Talon,jungle,66.1%,A,50.7%,-0.8%,6.5%,5 345
Master+,EUW,16.2,Veigar,adc,25.7%,A,53.9%,+2.5%,1.2%,956
Master+,EUW,16.2,Jax,top,78.9%,A,50.7%,+0.3%,6.0%,4 973
Master+,EUW,16.2,Varus,mid,6.9%,A,52.1%,+5.2%,1.2%,960
Master+,EUW,16.2,Katarina,mid,94.8%,A,50.2%,-0.6%,6.8%,5 650
Master+,EUW,16.2,Zed,jungle,39.1%,A,50.8%,+2.1%,4.8%,3 943
Master+,EUW,16.2,Corki,adc,85.3%,A,50.3%,+1.7%,10.3%,8 521
Master+,EUW,16.2,Sylas,mid,54.1%,A,50.8%,+1.1%,5.6%,4 594
Master+,EUW,16.2,Tristana,adc,83.0%,A,52.1%,+0.1%,4.8%,3 939
Master+,EUW,16.2,Zaahen,top,90.0%,A,51.0%,-0.1%,6.8%,5 612
Master+,EUW,16.2,Gwen,jungle,45.4%,A,51.1%,+1.3%,3.5%,2 910
Master+,EUW,16.2,Jhin,adc,98.6%,A,50.5%,+0.7%,10.9%,9 029
Master+,EUW,16.2,Draven,adc,95.2%,A,50.4%,-1.0%,5.2%,4 320
Master+,EUW,16.2,Ahri,mid,95.9%,A,51.2%,-0.6%,7.7%,6 330
Master+,EUW,16.2,Sivir,adc,99.3%,A,50.8%,+2.1%,7.1%,5 869
Master+,EUW,16.2,Zoe,mid,82.5%,A,51.8%,+1.3%,4.0%,3 331
