elo,server,patch,champion,role,role_pickrate,tier,winrate,winrate_evol,pickrate,games
Master+,EUW,30days,Braum,support,100.0%,S+,51.9%,+1.7%,10.9%,15 646
Master+,EUW,30days,Rengar,jungle,86.1%,S+,53.3%,+2.8%,5.5%,7 857
Master+,EUW,30days,Kassadin,mid,95.9%,S+,52.2%,+0.9%,7.9%,11 374
Master+,EUW,30days,Diana,jungle,78.6%,S+,50.8%,-0.4%,13.1%,18 809
Master+,EUW,30days,Riven,top,89.1%,S+,52.2%,-1.2%,6.2%,8 935
Master+,EUW,30days,Aphelios,adc,99.4%,S+,50.4%,-0.0%,12.0%,17 197
Master+,EUW,30days,Rek'Sai,jungle,86.4%,S+,54.2%,+1.1%,4.2%,5 975
Master+,EUW,30days,Qiyana,mid,42.5%,S,52.5%,+0.8%,4.3%,6 105
Master+,EUW,30days,Shaco,jungle,78.3%,S,52.6%,-0.1%,4.6%,6 537
Master+,EUW,30days,Nunu,jungle,90.2%,S,53.2%,-1.0%,4.9%,7 007
Master+,EUW,30days,Varus,adc,64.2%,S,50.6%,+4.1%,9.8%,13 997
Master+,EUW,30days,Yasuo,adc,11.9%,S,52.9%,+1.1%,2.2%,3 147
Master+,EUW,30days,Thresh,support,99.8%,S,51.9%,+0.4%,10.0%,14 325
Master+,EUW,30days,Gwen,top,48.0%,S,52.3%,+3.8%,3.7%,5 292
Master+,EUW,30days,Syndra,mid,93.1%,S,50.7%,-0.2%,9.7%,13 876
Master+,EUW,30days,Zed,jungle,45.4%,S,51.6%,+2.1%,5.9%,8 491
Master+,EUW,30days,Akshan,mid,90.5%,S,52.1%,-0.5%,5.0%,7 148
Master+,EUW,30days,Caitlyn,adc,99.0%,S,49.9%,+1.3%,11.6%,16 655
Master+,EUW,30days,Janna,support,99.3%,S,51.3%,-0.2%,9.7%,13 926
Master+,EUW,30days,Ivern,jungle,84.0%,S,54.0%,-0.4%,2.9%,4 205
Master+,EUW,30days,Nautilus,support,99.1%,S,50.0%,+0.0%,13.1%,18 701
Master+,EUW,30days,Jinx,adc,99.7%,S,51.7%,+0.8%,9.9%,14 105
Master+,EUW,30days,Gwen,jungle,49.4%,S,51.8%,+1.3%,4.4%,6 241
Master+,EUW,30days,Bard,support,99.5%,S,49.9%,-1.2%,10.6%,15 149
Master+,EUW,30days,Talon,jungle,66.5%,S,51.0%,-0.8%,6.7%,9 589
Master+,EUW,30days,Irelia,top,64.7%,S,51.7%,+2.6%,4.6%,6 531
Master+,EUW,30days,Yasuo,mid,60.8%,S,50.5%,+1.6%,8.2%,11 704
Master+,EUW,30days,Swain,adc,32.3%,A,53.8%,-0.3%,2.5%,3 555
Master+,EUW,30days,Lulu,support,98.6%,A,50.3%,+0.6%,11.5%,16 501
Master+,EUW,30days,Sivir,adc,99.4%,A,51.2%,+2.1%,8.9%,12 757
Master+,EUW,30days,Pyke,support,98.8%,A,51.0%,+0.5%,6.0%,8 620
Master+,EUW,30days,Fiora,top,97.6%,A,51.1%,-0.7%,5.5%,7 896
Master+,EUW,30days,Nami,support,99.9%,A,50.6%,-0.1%,18.8%,26 865
Master+,EUW,30days,Katarina,mid,95.1%,A,50.6%,-0.6%,7.1%,10 141
Master+,EUW,30days,Karthus,adc,21.6%,A,53.8%,+1.5%,1.3%,1 800
Master+,EUW,30days,Tristana,adc,83.8%,A,52.3%,+0.1%,5.5%,7 913
Master+,EUW,30days,Kha'Zix,jungle,99.7%,A,50.6%,+2.2%,9.0%,12 869
Master+,EUW,30days,Jax,top,80.5%,A,50.6%,+0.3%,6.0%,8 560
Master+,EUW,30days,Jayce,mid,6.6%,A,52.0%,+0.7%,1.4%,2 044
Master+,EUW,30days,Taric,support,96.8%,A,53.3%,-0.7%,2.6%,3 705
Master+,EUW,30days,Vel'Koz,adc,20.4%,A,53.7%,+0.0%,1.1%,1 559
Master+,EUW,30days,Ekko,jungle,68.5%,A,49.9%,+0.8%,7.9%,11 347
Master+,EUW,30days,Zaahen,top,89.0%,A,50.8%,-0.1%,6.8%,9 663
Master+,EUW,30days,Varus,top,28.6%,A,51.1%,+2.9%,3.6%,5 186
Master+,EUW,30days,Zoe,mid,83.3%,A,52.2%,+1.3%,4.1%,5 806
Master+,EUW,30days,Sylas,mid,53.0%,A,50.3%,+1.1%,5.9%,8 489
Master+,EUW,30days,Rumble,top,88.4%,A,51.7%,+0.9%,4.8%,6 854
Master+,EUW,30days,Corki,adc,83.4%,A,50.2%,+1.7%,10.3%,14 727
Master+,EUW,30days,Akali,mid,76.0%,A,49.7%,+0.3%,7.6%,10 881
Master+,EUW,30days,Twisted Fate,mid,95.3%,A,52.2%,+0.6%,4.7%,6 761
Master+,EUW,30days,Draven,adc,95.2%,A,50.2%,-1.0%,5.7%,8 172
Master+,EUW,30days,Anivia,mid,69.9%,A,52.2%,+1.2%,3.5%,4 980
Master+,EUW,30days,Jhin,adc,98.6%,A,50.2%,+0.7%,11.0%,15 731
Master+,EUW,30days,Vel'Koz,mid,32.1%,A,52.7%,+3.1%,2.3%,3 274
Master+,EUW,30days,Ahri,mid,95.6%,A,51.0%,-0.6%,7.7%,11 000
Master+,EUW,30days,Cassiopeia,top,36.5%,B,52.3%,-1.4%,2.1%,3 011
Master+,EUW,30days,Karma,support,94.5%,B,49.3%,-0.4%,11.3%,16 238
Master+,EUW,30days,Bel'Veth,jungle,95.6%,B,51.4%,-2.6%,2.3%,3 339
Master+,EUW,30days,Lux,adc,19.7%,B,53.0%,+0.3%,1.1%,1 537
Master+,EUW,30days,Ekko,mid,29.6%,B,50.2%,-0.2%,4.8%,6 892
Master+,EUW,30days,Vayne,top,41.5%,B,50.5%,-0.7%,4.3%,6 143
Master+,EUW,30days,Zed,mid,49.6%,B,49.7%,-0.8%,5.7%,8 216
Master+,EUW,30days,Xayah,adc,99.5%,B,52.3%,-2.2%,2.9%,4 167
Master+,EUW,30days,Anivia,top,18.2%,B,52.5%,-1.1%,1.1%,1 599
Master+,EUW,30days,Ambessa,top,60.9%,B,49.2%,+0.7%,7.5%,10 776
Master+,EUW,30days,Vayne,adc,54.9%,B,50.2%,-0.3%,5.3%,7 561
Master+,EUW,30days,Sona,support,99.2%,B,50.2%,-1.5%,8.6%,12 260
Master+,EUW,30days,Aurelion Sol,adc,25.3%,B,52.6%,-0.6%,1.3%,1 845
Master+,EUW,30days,Gangplank,top,94.1%,B,51.2%,+1.1%,5.1%,7 248
Master+,EUW,30days,Malphite,top,59.0%,B,49.3%,-2.2%,6.4%,9 095
Master+,EUW,30days,Talon,mid,32.6%,B,50.8%,-1.5%,1.4%,1 993
Master+,EUW,30days,Samira,adc,98.7%,B,51.5%,+0.8%,4.0%,5 716
Master+,EUW,30days,Kog'Maw,adc,81.8%,B,52.3%,+0.9%,2.0%,2 891
Master+,EUW,30days,Poppy,support,53.6%,B,51.7%,+0.6%,1.9%,2 700
Master+,EUW,30days,Alistar,support,99.5%,C,50.4%,+0.9%,6.9%,9 843
Master+,EUW,30days,Jarvan IV,jungle,95.9%,C,49.6%,-1.3%,9.3%,13 287
