elo,server,patch,champion,role,role_pickrate,tier,winrate,winrate_evol,pickrate,games
Master,EUW,14days,Rengar,jungle,86.5%,S+,54.3%,+2.7%,6.2%,4 903
Master,EUW,14days,Braum,support,100.0%,S+,52.0%,+1.7%,11.7%,9 267
Master,EUW,14days,Kassadin,mid,96.3%,S+,52.0%,+0.8%,8.5%,6 729
Master,EUW,14days,Diana,jungle,79.3%,S+,50.9%,-0.5%,12.3%,9 724
Master,EUW,14days,Varus,adc,64.1%,S+,50.8%,+4.3%,13.3%,10 511
Master,EUW,14days,Riven,top,90.0%,S+,52.2%,-1.3%,5.8%,4 627
Master,EUW,14days,Gwen,top,51.1%,S,52.7%,+3.4%,3.7%,2 957
Master,EUW,14days,Qiyana,mid,44.2%,S,52.5%,+1.3%,4.4%,3 498
Master,EUW,14days,Aphelios,adc,99.4%,S,50.4%,-0.1%,11.5%,9 104
Master,EUW,14days,Thresh,support,99.8%,S,51.9%,+0.6%,10.7%,8 450
Master,EUW,14days,Shaco,jungle,77.7%,S,52.8%,+0.1%,4.6%,3 610
Master,EUW,14days,Syndra,mid,93.4%,S,51.1%,+0.3%,9.3%,7 351
Master,EUW,14days,Kha'Zix,jungle,99.7%,S,51.2%,+2.4%,9.9%,7 862
Master,EUW,14days,Irelia,top,65.7%,S,52.2%,+2.6%,4.8%,3 824
Master,EUW,14days,Jinx,adc,99.8%,S,51.8%,+0.9%,10.9%,8 656
Master,EUW,14days,Caitlyn,adc,99.2%,S,49.9%,+1.5%,13.0%,10 302
Master,EUW,14days,Yasuo,adc,11.2%,S,52.7%,+0.8%,2.2%,1 748
Master,EUW,14days,Anivia,mid,71.9%,S,53.6%,+1.4%,3.7%,2 962
Master,EUW,14days,Janna,support,99.5%,S,51.6%,-0.1%,9.1%,7 172
Master,EUW,14days,Rek'Sai,jungle,87.8%,S,53.6%,+0.5%,4.2%,3 335
Master,EUW,14days,Pyke,support,98.9%,S,51.5%,+0.9%,5.7%,4 541
Master,EUW,14days,Nami,support,99.9%,S,51.0%,-0.1%,19.1%,15 090
Master,EUW,14days,Ivern,jungle,84.3%,S,53.9%,-0.1%,2.7%,2 143
Master,EUW,14days,Yasuo,mid,61.9%,S,50.5%,+1.7%,8.8%,6 926
Master,EUW,14days,Karthus,adc,20.3%,S,54.2%,+1.5%,1.2%,971
Master,EUW,14days,Ekko,jungle,70.1%,S,50.5%,+1.0%,8.5%,6 748
Master,EUW,14days,Akshan,mid,91.3%,S,51.7%,-0.7%,5.0%,3 940
Master,EUW,14days,Lulu,support,98.8%,A,50.2%,+0.7%,11.7%,9 283
Master,EUW,14days,Gwen,jungle,46.2%,A,51.7%,+2.3%,3.8%,2 995
Master,EUW,14days,Swain,adc,32.2%,A,53.7%,+0.0%,2.3%,1 837
Master,EUW,14days,Zed,jungle,40.7%,A,51.3%,+2.3%,4.9%,3 893
Master,EUW,14days,Fiora,top,97.6%,A,51.1%,-0.9%,5.1%,4 061
Master,EUW,14days,Jax,top,79.2%,A,50.8%,+0.2%,5.9%,4 701
Master,EUW,14days,Lux,adc,17.0%,A,54.0%,+0.4%,1.1%,845
Master,EUW,14days,Bard,support,99.5%,A,49.7%,-1.4%,10.5%,8 303
Master,EUW,14days,Sylas,mid,53.9%,A,51.1%,+1.5%,5.6%,4 433
Master,EUW,14days,Nautilus,support,99.1%,A,49.3%,-0.2%,12.6%,9 987
Master,EUW,14days,Talon,jungle,65.7%,A,50.5%,-0.8%,6.5%,5 135
Master,EUW,14days,Katarina,mid,95.1%,A,50.4%,-0.1%,7.0%,5 506
Master,EUW,14days,Corki,adc,85.2%,A,50.6%,+2.0%,10.1%,8 014
Master,EUW,14days,Varus,top,28.7%,A,50.9%,+2.3%,4.6%,3 658
Master,EUW,14days,Volibear,jungle,53.6%,A,51.4%,+0.9%,6.3%,4 969
Master,EUW,14days,Draven,adc,95.7%,A,50.6%,-0.7%,5.3%,4 224
Master,EUW,14days,Zyra,jungle,45.0%,A,53.4%,+1.2%,1.3%,1 048
