elo,server,patch,champion,role,role_pickrate,tier,winrate,winrate_evol,pickrate,games
Master+,KR,30days,Braum,support,100.0%,S+,52.8%,+1.8%,16.8%,29 921
Master+,KR,30days,Qiyana,mid,42.5%,S+,54.3%,-0.8%,3.4%,6 067
Master+,KR,30days,Zoe,mid,83.3%,S+,52.9%,-0.2%,6.0%,10 778
Master+,KR,30days,LeeSin,jungle,95.1%,S+,50.9%,-0.1%,23.8%,42 445
Master+,KR,30days,Sivir,adc,99.4%,S+,51.8%,+0.8%,10.7%,19 045
Master+,KR,30days,Rek'Sai,jungle,86.4%,S+,54.0%,+1.2%,5.2%,9 269
Master+,KR,30days,Jinx,adc,99.7%,S+,52.3%,+1.5%,12.3%,21 955
Master+,KR,30days,Miss Fortune,adc,98.8%,S+,52.1%,-0.2%,8.6%,15 260
Master+,KR,30days,Kennen,top,85.6%,S+,53.2%,+0.5%,5.9%,10 502
Master+,KR,30days,Twisted Fate,mid,95.3%,S+,52.4%,+1.0%,9.5%,16 851
Master+,KR,30days,Karthus,jungle,71.1%,S+,53.5%,+3.2%,2.7%,4 874
Master+,KR,30days,Swain,adc,32.3%,S+,55.1%,-1.4%,2.0%,3 600
Master+,KR,30days,Caitlyn,adc,99.0%,S,50.4%,+1.6%,14.7%,26 240
Master+,KR,30days,Rumble,top,88.4%,S,51.4%,-1.2%,8.3%,14 737
Master+,KR,30days,Jax,top,80.5%,S,51.2%,-0.1%,8.8%,15 758
Master+,KR,30days,Zed,mid,49.6%,S,51.6%,+1.6%,6.7%,12 002
Master+,KR,30days,Thresh,support,99.8%,S,50.9%,+0.3%,15.2%,27 013
Master+,KR,30days,Neeko,support,80.2%,S,51.9%,+2.7%,6.7%,12 020
Master+,KR,30days,Leona,support,99.9%,S,51.7%,+0.5%,9.6%,17 143
Master+,KR,30days,Poppy,top,34.4%,S,52.9%,+2.5%,1.7%,3 083
Master+,KR,30days,Talon,mid,32.6%,S,53.2%,+0.0%,4.0%,7 120
Master+,KR,30days,Aphelios,adc,99.4%,S,49.7%,-1.3%,24.5%,43 758
Master+,KR,30days,Nidalee,jungle,78.9%,S,52.4%,-0.7%,5.2%,9 206
Master+,KR,30days,Jayce,jungle,68.2%,S,49.4%,+0.2%,15.7%,27 996
Master+,KR,30days,Poppy,support,53.6%,A,51.9%,-1.3%,3.5%,6 253
Master+,KR,30days,Ekko,jungle,68.5%,A,49.4%,-2.2%,11.4%,20 245
Master+,KR,30days,Orianna,mid,97.9%,A,49.7%,-1.1%,11.6%,20 640
Master+,KR,30days,Qiyana,jungle,52.2%,A,51.0%,+0.6%,6.0%,10 693
Master+,KR,30days,Elise,jungle,50.7%,A,52.6%,-0.2%,2.1%,3 776
Master+,KR,30days,Kha'Zix,jungle,99.7%,A,51.4%,+2.4%,7.9%,14 133
Master+,KR,30days,Elise,support,46.3%,A,52.3%,-0.9%,3.0%,5 428
Master+,KR,30days,Pyke,support,98.8%,A,50.7%,+0.1%,6.5%,11 623
Master+,KR,30days,Lucian,adc,97.0%,A,49.5%,-0.5%,13.7%,24 507
Master+,KR,30days,Fiora,top,97.6%,A,51.5%,+0.5%,4.7%,8 446
Master+,KR,30days,Taric,support,96.8%,A,53.6%,-1.0%,2.0%,3 601
Master+,KR,30days,Nilah,adc,99.1%,A,53.8%,+2.4%,1.1%,2 040
Master+,KR,30days,Nautilus,support,99.1%,A,49.1%,-0.1%,16.2%,28 964
Master+,KR,30days,Blitzcrank,support,99.8%,A,49.9%,+1.6%,8.1%,14 449
Master+,KR,30days,Akshan,mid,90.5%,A,52.9%,+1.3%,2.7%,4 845
Master+,KR,30days,Varus,adc,64.2%,A,49.8%,+1.7%,8.3%,14 862
Master+,KR,30days,Bard,support,99.5%,A,50.6%,-0.4%,9.6%,17 123
Master+,KR,30days,Zed,jungle,45.4%,A,50.7%,+2.0%,5.1%,9 020
Master+,KR,30days,Varus,top,28.6%,A,51.1%,+2.8%,3.7%,6 593
Master+,KR,30days,Zyra,jungle,46.1%,A,52.8%,-1.4%,2.2%,4 003
Master+,KR,30days,Taliyah,jungle,36.1%,A,52.6%,+0.0%,3.4%,5 994
Master+,KR,30days,Katarina,mid,95.1%,A,51.4%,-2.5%,6.0%,10 691
Master+,KR,30days,Jayce,top,25.0%,A,50.9%,+1.0%,3.9%,6 987
Master+,KR,30days,Alistar,support,99.5%,A,50.9%,+0.3%,8.9%,15 810
Master+,KR,30days,Gwen,jungle,49.4%,A,52.0%,+1.9%,3.5%,6 303
Master+,KR,30days,Singed,top,83.0%,A,52.6%,-2.1%,2.9%,5 125
Master+,KR,30days,Zac,jungle,69.2%,A,52.2%,+1.2%,4.1%,7 284
Master+,KR,30days,Ziggs,adc,75.4%,A,53.0%,+1.9%,1.8%,3 288
Master+,KR,30days,Draven,adc,95.2%,A,51.3%,-0.5%,2.2%,3 940
Master+,KR,30days,Cassiopeia,adc,19.0%,A,52.9%,-2.6%,1.2%,2 157
Master+,KR,30days,Akali,mid,76.0%,A,48.6%,-0.2%,10.8%,19 169
Master+,KR,30days,Olaf,top,90.2%,B,52.0%,-2.7%,3.7%,6 535
Master+,KR,30days,Fiddlesticks,jungle,67.0%,B,52.8%,+0.4%,1.5%,2 747
Master+,KR,30days,Ambessa,top,60.9%,B,49.0%,-1.1%,9.0%,16 130
Master+,KR,30days,Vex,mid,95.8%,B,52.1%,-0.8%,2.6%,4 672
Master+,KR,30days,Zaahen,top,89.0%,B,50.5%,-0.5%,6.4%,11 392
Master+,KR,30days,Kindred,jungle,96.6%,B,52.6%,+1.9%,1.8%,3 202
Master+,KR,30days,Irelia,top,64.7%,B,49.9%,-0.5%,5.3%,9 459
Master+,KR,30days,Malphite,top,59.0%,B,50.2%,-1.4%,4.2%,7 544
Master+,KR,30days,Sylas,jungle,32.0%,B,49.5%,-0.4%,6.3%,11 305
