elo,server,patch,champion,role,role_pickrate,tier,winrate,winrate_evol,pickrate,games
Master+,NA,15.23,Riven,mid,4.9%,S+,62.0%,+2.4%,1.1%,316
Master+,NA,15.23,Quinn,mid,26.2%,S+,59.0%,-4.3%,1.1%,305
Master+,NA,15.23,Zaahen,mid,5.4%,S+,56.7%,+8.6%,1.4%,386
Master+,NA,15.23,Zaahen,top,78.4%,S+,53.4%,+0.7%,17.0%,4 709
Master+,NA,15.23,Riven,top,70.7%,S+,55.2%,-2.2%,5.4%,1 508
Master+,NA,15.23,Bel'Veth,jungle,95.5%,S+,55.5%,+2.7%,2.8%,768
Master+,NA,15.23,Yasuo,adc,11.8%,S+,55.8%,+0.3%,1.6%,443
Master+,NA,15.23,Qiyana,mid,28.0%,S+,55.2%,-0.4%,3.4%,955
Master+,NA,15.23,Ivern,jungle,83.1%,S+,56.4%,-0.7%,3.4%,938
Master+,NA,15.23,Kennen,top,78.3%,S+,56.5%,-0.0%,2.0%,550
Master+,NA,15.23,Fiddlesticks,jungle,59.3%,S+,55.4%,+2.7%,2.7%,749
Master+,NA,15.23,Quinn,top,68.3%,S+,55.1%,+1.3%,3.0%,820
Master+,NA,15.23,Tristana,adc,88.9%,S+,52.8%,-1.4%,10.0%,2 773
Master+,NA,15.23,Rengar,jungle,89.1%,S+,52.8%,+2.1%,5.8%,1 594
Master+,NA,15.23,Shaco,jungle,70.3%,S+,53.6%,+0.4%,3.0%,825
Master+,NA,15.23,Zyra,jungle,35.5%,S+,55.4%,-0.7%,1.1%,296
Master+,NA,15.23,Sylas,jungle,56.4%,S+,51.0%,-0.4%,9.9%,2 731
Master+,NA,15.23,Bard,support,99.2%,S,51.5%,-0.8%,11.0%,3 052
Master+,NA,15.23,Nami,support,99.9%,S,51.7%,-0.8%,15.1%,4 192
Master+,NA,15.23,Miss Fortune,adc,99.1%,S,51.3%,-0.0%,19.9%,5 523
Master+,NA,15.23,Zed,mid,47.3%,S,51.8%,+0.5%,5.4%,1 499
Master+,NA,15.23,Braum,support,99.9%,S,52.4%,+2.8%,5.7%,1 585
Master+,NA,15.23,Qiyana,jungle,68.9%,S,52.0%,-0.5%,4.6%,1 280
Master+,NA,15.23,Zoe,mid,80.1%,S,52.5%,-2.7%,4.3%,1 203
Master+,NA,15.23,Evelynn,jungle,96.9%,S,54.3%,-1.3%,1.6%,455
Master+,NA,15.23,Leona,support,99.8%,S,52.5%,+1.6%,7.3%,2 013
Master+,NA,15.23,Pyke,support,98.5%,S,51.6%,-1.5%,5.5%,1 530
Master+,NA,15.23,Fiora,top,97.3%,S,51.6%,-2.5%,5.2%,1 450
Master+,NA,15.23,Cassiopeia,mid,51.0%,S,54.1%,-3.9%,1.4%,401
Master+,NA,15.23,Malphite,top,56.2%,S,51.3%,-3.1%,6.0%,1 667
Master+,NA,15.23,Mel,adc,27.6%,S,51.1%,+1.6%,6.5%,1 804
Master+,NA,15.23,Vex,mid,95.4%,A,53.8%,-2.5%,2.2%,612
Master+,NA,15.23,Lucian,adc,97.0%,A,51.3%,-0.3%,8.8%,2 446
Master+,NA,15.23,Karma,support,94.0%,A,50.5%,-1.8%,11.2%,3 099
Master+,NA,15.23,Akshan,mid,92.0%,A,52.2%,+1.2%,3.4%,950
Master+,NA,15.23,Syndra,mid,93.3%,A,50.2%,+0.3%,10.1%,2 790
Master+,NA,15.23,Kled,top,90.5%,A,53.5%,-3.0%,2.5%,697
Master+,NA,15.23,Pantheon,mid,9.8%,A,53.6%,-2.5%,1.3%,347
Master+,NA,15.23,Olaf,top,85.7%,A,53.7%,+0.5%,1.6%,443
Master+,NA,15.23,Master Yi,jungle,90.7%,A,51.9%,+0.5%,4.3%,1 198
Master+,NA,15.23,Sona,support,98.9%,A,51.2%,+1.3%,8.0%,2 213
Master+,NA,15.23,Janna,support,99.3%,A,51.0%,-1.2%,9.2%,2 540
Master+,NA,15.23,Nidalee,jungle,84.6%,A,52.7%,+2.0%,4.1%,1 128
Master+,NA,15.23,Milio,support,99.9%,A,50.6%,-0.3%,9.2%,2 547
Master+,NA,15.23,Zac,jungle,62.7%,A,52.4%,-1.7%,3.6%,986
Master+,NA,15.23,Draven,adc,96.4%,A,50.5%,-3.5%,5.6%,1 543
Master+,NA,15.23,Graves,jungle,97.2%,A,50.3%,-0.7%,7.5%,2 066
Master+,NA,15.23,Jax,top,71.9%,A,50.2%,+0.3%,6.0%,1 654
Master+,NA,15.23,Yasuo,mid,58.9%,A,50.0%,+0.5%,6.6%,1 831
Master+,NA,15.23,Rek'Sai,jungle,77.8%,A,52.0%,-1.1%,4.5%,1 245
Master+,NA,15.23,Jhin,adc,98.6%,A,50.0%,+1.1%,13.4%,3 707
Master+,NA,15.23,Caitlyn,adc,96.8%,A,50.1%,+1.5%,8.6%,2 371
Master+,NA,15.23,Blitzcrank,support,99.7%,A,50.5%,-0.6%,4.9%,1 347
Master+,NA,15.23,Zaahen,jungle,15.1%,A,50.8%,+0.4%,3.6%,1 005
Master+,NA,15.23,Jayce,top,61.2%,A,51.1%,+2.1%,5.2%,1 428
Master+,NA,15.23,Ekko,jungle,58.1%,A,51.5%,-1.3%,5.1%,1 403
Master+,NA,15.23,Diana,mid,36.3%,A,52.3%,-0.9%,2.6%,719
Master+,NA,15.23,Ashe,adc,95.7%,A,50.5%,+1.3%,8.4%,2 338
Master+,NA,15.23,Senna,support,88.1%,A,51.5%,+0.5%,5.8%,1 603
Master+,NA,15.23,Ahri,mid,96.2%,B,51.0%,-2.2%,7.2%,1 984
Master+,NA,15.23,Jarvan IV,jungle,95.7%,B,50.4%,+0.4%,8.3%,2 306
Master+,NA,15.23,Alistar,support,99.3%,B,51.2%,-1.0%,5.9%,1 624
Master+,NA,15.23,Tryndamere,top,77.4%,B,51.9%,+0.7%,2.8%,774
Master+,NA,15.23,Taliyah,mid,73.8%,B,51.8%,+3.5%,4.3%,1 205
Master+,NA,15.23,Sylas,mid,33.9%,B,49.4%,-2.4%,6.6%,1 828
Master+,NA,15.23,Cho'Gath,top,47.0%,B,51.9%,-2.5%,3.6%,992
Master+,NA,15.23,Jayce,mid,16.9%,B,51.5%,+1.1%,1.8%,489
Master+,NA,15.23,Hecarim,jungle,99.8%,B,50.6%,-2.8%,5.2%,1 442
Master+,NA,15.23,Smolder,adc,80.9%,B,50.2%,-2.9%,7.7%,2 128
Master+,NA,15.23,Ekko,mid,39.2%,C,51.3%,+1.6%,3.4%,940
Master+,NA,15.23,Taliyah,jungle,19.6%,C,52.2%,-3.0%,1.3%,368
Master+,NA,15.23,Kai'Sa,adc,98.3%,C,48.8%,-1.4%,15.7%,4 341
Master+,NA,15.23,Thresh,support,99.8%,C,49.7%,+1.3%,8.6%,2 393
Master+,NA,15.23,Kindred,jungle,97.4%,C,49.7%,+0.8%,4.2%,1 160
Master+,NA,15.23,Viego,jungle,96.2%,C,49.6%,-1.4%,8.0%,2 215
Master+,NA,15.23,Aurelion Sol,mid,72.6%,C,52.2%,+2.4%,1.4%,383
Master+,NA,15.23,Lissandra,mid,90.9%,C,51.8%,+1.8%,2.5%,689
Master+,NA,15.23,Hwei,mid,76.2%,C,51.1%,-0.3%,3.9%,1 070
Master+,NA,15.23,Lillia,jungle,98.6%,C,51.7%,+0.5%,2.2%,623
Master+,NA,15.23,Swain,mid,25.2%,C,52.2%,-1.9%,1.2%,322
Master+,NA,15.23,Talon,mid,27.9%,C,51.3%,-2.5%,2.0%,552
Master+,NA,15.23,Orianna,mid,98.3%,C,49.7%,+0.7%,8.5%,2 346
