elo,server,patch,champion,role,role_pickrate,tier,winrate,winrate_evol,pickrate,games
Master+,NA,30days,Yasuo,adc,11.9%,S+,55.3%,+0.2%,2.1%,1 107
Master+,NA,30days,Sona,support,99.2%,S+,52.4%,+1.3%,14.7%,7 846
Master+,NA,30days,Braum,support,100.0%,S+,52.1%,+2.8%,10.4%,5 552
Master+,NA,30days,Qiyana,mid,42.5%,S+,53.9%,-0.3%,4.0%,2 132
Master+,NA,30days,Sylas,top,9.0%,S+,54.1%,+0.0%,1.0%,551
Master+,NA,30days,Riven,top,89.1%,S+,52.5%,-2.2%,6.2%,3 316
Master+,NA,30days,Urgot,top,96.4%,S+,54.2%,-0.3%,4.8%,2 535
Master+,NA,30days,Swain,mid,24.0%,S+,54.9%,-1.9%,2.2%,1 183
Master+,NA,30days,Kindred,jungle,96.6%,S+,53.4%,+0.8%,3.8%,2 033
Master+,NA,30days,Fiddlesticks,jungle,67.0%,S+,54.3%,+2.5%,2.6%,1 383
Master+,NA,30days,Akshan,mid,90.5%,S,53.1%,+1.2%,4.6%,2 451
Master+,NA,30days,Sivir,adc,99.4%,S,50.8%,-0.4%,10.2%,5 461
Master+,NA,30days,Kha'Zix,jungle,99.7%,S,50.8%,-0.6%,9.7%,5 202
Master+,NA,30days,Shaco,jungle,78.3%,S,52.9%,+0.4%,3.8%,2 031
Master+,NA,30days,Bel'Veth,jungle,95.6%,S,52.8%,+2.7%,2.7%,1 429
Master+,NA,30days,Zoe,mid,83.3%,S,52.5%,-2.7%,4.8%,2 560
Master+,NA,30days,Jinx,adc,99.7%,S,51.3%,+1.6%,12.1%,6 455
Master+,NA,30days,Ivern,jungle,84.0%,S,53.8%,-0.7%,3.3%,1 739
Master+,NA,30days,Lux,adc,19.7%,S,53.6%,+1.3%,3.2%,1 698
Master+,NA,30days,Thresh,support,99.8%,S,51.8%,+1.3%,9.4%,5 016
Master+,NA,30days,Akali,mid,76.0%,S,51.0%,-0.1%,7.8%,4 142
Master+,NA,30days,Rengar,jungle,86.1%,S,51.5%,+2.1%,5.9%,3 167
Master+,NA,30days,Varus,adc,64.2%,S,51.1%,+4.2%,7.2%,3 835
Master+,NA,30days,Quinn,top,67.6%,S,54.3%,+1.3%,1.5%,792
Master+,NA,30days,Zed,mid,49.6%,S,51.4%,+0.4%,6.1%,3 265
Master+,NA,30days,Aphelios,adc,99.4%,S,49.8%,+0.8%,12.1%,6 436
Master+,NA,30days,Ekko,jungle,68.5%,S,50.9%,-1.2%,7.3%,3 901
Master+,NA,30days,Veigar,adc,24.8%,S,54.2%,+1.2%,1.7%,882
Master+,NA,30days,Syndra,mid,93.1%,A,50.6%,+0.3%,8.4%,4 489
Master+,NA,30days,Rek'Sai,jungle,86.4%,A,52.6%,-1.1%,5.2%,2 779
Master+,NA,30days,Gangplank,top,94.1%,A,53.0%,+2.2%,3.9%,2 088
Master+,NA,30days,Diana,jungle,78.6%,S,50.2%,-0.2%,10.3%,5 523
Master+,NA,30days,Gwen,jungle,49.4%,A,51.3%,+0.2%,4.9%,2 609
Master+,NA,30days,Jayce,jungle,68.2%,A,50.0%,+2.2%,9.2%,4 899
Master+,NA,30days,Jax,top,80.5%,A,50.8%,+0.3%,6.3%,3 353
Master+,NA,30days,Nunu,jungle,90.2%,A,51.4%,+0.2%,4.8%,2 563
Master+,NA,30days,Lucian,adc,97.0%,A,49.3%,-0.3%,12.3%,6 539
Master+,NA,30days,Jayce,top,25.0%,A,51.4%,+2.1%,4.3%,2 272
Master+,NA,30days,Talon,jungle,66.5%,A,51.2%,+1.7%,5.3%,2 842
Master+,NA,30days,Ambessa,top,60.9%,A,50.4%,-0.1%,7.1%,3 785
Master+,NA,30days,Nautilus,support,99.1%,A,49.7%,+0.0%,11.4%,6 059
Master+,NA,30days,Irelia,top,64.7%,A,51.8%,+0.5%,4.5%,2 390
Master+,NA,30days,Zaahen,top,89.0%,A,51.0%,+0.7%,6.2%,3 284
Master+,NA,30days,Poppy,support,53.6%,A,52.4%,+2.5%,2.0%,1 068
Master+,NA,30days,Vladimir,mid,47.0%,A,52.3%,+3.4%,3.1%,1 636
Master+,NA,30days,Neeko,support,80.2%,A,52.9%,+2.4%,2.8%,1 500
Master+,NA,30days,Leona,support,99.9%,A,51.6%,+1.6%,6.9%,3 696
Master+,NA,30days,Taric,support,96.8%,A,53.4%,+0.7%,2.1%,1 107
Master+,NA,30days,Varus,top,28.6%,A,51.3%,+2.2%,3.3%,1 746
Master+,NA,30days,Nami,support,99.9%,A,50.1%,-0.8%,17.3%,9 206
Master+,NA,30days,Karma,support,94.5%,A,49.7%,-1.8%,11.4%,6 109
Master+,NA,30days,Janna,support,99.3%,A,51.0%,-1.2%,8.6%,4 589
Master+,NA,30days,Galio,mid,87.5%,A,51.6%,+2.5%,6.0%,3 223
Master+,NA,30days,Gwen,top,48.0%,A,50.9%,+1.6%,3.8%,2 040
Master+,NA,30days,Brand,adc,21.0%,A,53.1%,-3.1%,1.8%,982
Master+,NA,30days,Caitlyn,adc,99.0%,A,49.1%,+1.5%,11.2%,5 969
Master+,NA,30days,Zyra,jungle,46.1%,A,53.0%,-0.7%,1.4%,771
Master+,NA,30days,Zac,jungle,69.2%,A,52.0%,-1.6%,3.7%,1 960
Master+,NA,30days,Ashe,adc,88.9%,A,51.9%,+1.2%,5.3%,2 804
Master+,NA,30days,Ekko,mid,29.6%,A,50.6%,+1.6%,4.0%,2 160
Master+,NA,30days,Yasuo,mid,60.8%,A,49.5%,+0.5%,7.7%,4 131
Master+,NA,30days,Blitzcrank,support,99.8%,A,50.7%,-0.6%,4.7%,2 491
Master+,NA,30days,LeeSin,jungle,95.1%,A,50.6%,+0.8%,7.5%,4 026
Master+,NA,30days,Ziggs,adc,75.4%,A,52.4%,+2.0%,2.9%,1 568
Master+,NA,30days,Pyke,support,98.8%,B,50.0%,-1.5%,5.6%,2 991
Master+,NA,30days,Talon,mid,32.6%,B,51.1%,-2.5%,2.5%,1 338
Master+,NA,30days,Twitch,adc,92.6%,B,50.4%,+0.7%,6.7%,3 580
Master+,NA,30days,Miss Fortune,adc,98.8%,B,50.7%,-0.1%,7.1%,3 774
Master+,NA,30days,Renekton,top,94.8%,B,50.8%,+2.0%,6.1%,3 274
Master+,NA,30days,Graves,jungle,95.2%,B,51.3%,-0.7%,5.1%,2 718
Master+,NA,30days,Sylas,mid,53.0%,B,49.6%,-2.5%,6.5%,3 451
Master+,NA,30days,Seraphine,adc,27.1%,B,52.1%,+2.5%,3.2%,1 684
Master+,NA,30days,Taliyah,jungle,36.1%,B,52.3%,-3.0%,2.2%,1 171
Master+,NA,30days,Rek'Sai,top,12.2%,B,52.4%,-1.2%,1.0%,548
Master+,NA,30days,Kennen,top,85.6%,B,51.3%,-0.1%,4.5%,2 402
Master+,NA,30days,Akali,top,23.9%,B,50.4%,-0.5%,3.0%,1 580
