elo,server,patch,champion,role,role_pickrate,tier,winrate,winrate_evol,pickrate,games
Master+,TOUT,15.24,Miss Fortune,adc,99.1%,S+,51.0%,-0.4%,16.5%,113 700
Master+,TOUT,15.24,Riven,top,83.0%,S+,53.1%,-0.9%,5.6%,38 600
Master+,TOUT,15.24,Zaahen,top,79.0%,S,50.9%,-0.9%,10.1%,69 873
Master+,TOUT,15.24,LeeSin,jungle,95.1%,S,50.4%,+0.1%,12.2%,84 377
Master+,TOUT,15.24,Bel'Veth,jungle,97.0%,S,53.4%,-1.2%,2.8%,19 056
Master+,TOUT,15.24,Zoe,mid,80.6%,S,52.2%,+0.2%,5.1%,35 009
Master+,TOUT,15.24,Qiyana,mid,28.2%,S,52.6%,+0.5%,3.0%,20 430
Master+,TOUT,15.24,Bard,support,99.2%,S,51.2%,-0.9%,9.4%,64 976
Master+,TOUT,15.24,Katarina,mid,95.0%,S,51.5%,-0.1%,7.2%,49 777
Master+,TOUT,15.24,Swain,adc,27.8%,S,54.3%,-0.3%,1.9%,12 976
Master+,TOUT,15.24,Fiora,top,97.5%,S,51.7%,-0.2%,5.4%,37 204
Master+,TOUT,15.24,Nami,support,99.9%,S,51.0%,-0.4%,16.5%,113 675
Master+,TOUT,15.24,Elise,support,57.6%,S,52.7%,-0.1%,3.7%,25 841
Master+,TOUT,15.24,Malphite,top,58.2%,S,51.0%,-2.2%,6.7%,46 257
Master+,TOUT,15.24,Draven,adc,95.6%,S,51.3%,-1.0%,5.7%,39 522
Master+,TOUT,15.24,Tristana,adc,89.1%,S,51.6%,+0.3%,8.3%,57 002
Master+,TOUT,15.24,Talon,mid,25.6%,S,52.3%,-0.1%,2.3%,15 553
Master+,TOUT,15.24,Talon,jungle,73.3%,A,51.0%,-0.4%,6.5%,44 515
Master+,TOUT,15.24,Sylas,jungle,51.4%,A,49.8%,-0.7%,10.3%,71 010
Master+,TOUT,15.24,Nidalee,jungle,82.6%,A,52.2%,-0.9%,5.2%,35 868
Master+,TOUT,15.24,Janna,support,98.4%,A,51.9%,-0.8%,7.2%,49 656
Master+,TOUT,15.24,Ashe,adc,94.9%,A,51.2%,-0.2%,9.0%,62 085
Master+,TOUT,15.24,Karma,support,93.5%,A,50.0%,-1.3%,11.6%,80 220
Master+,TOUT,15.24,Syndra,mid,92.2%,A,50.8%,-0.8%,8.8%,60 783
Master+,TOUT,15.24,Jax,top,74.4%,A,50.7%,-0.3%,6.1%,42 293
Master+,TOUT,15.24,Thresh,support,99.8%,A,50.7%,+0.4%,9.8%,67 618
Master+,TOUT,15.24,Shaco,jungle,73.9%,A,51.7%,-0.1%,3.2%,21 883
Master+,TOUT,15.24,Pyke,support,97.9%,A,50.4%,-0.2%,6.8%,46 780
Master+,TOUT,15.24,Yasuo,adc,11.8%,A,52.0%,+1.7%,1.3%,8 791
Master+,TOUT,15.24,Lucian,adc,97.1%,A,50.0%,-0.8%,11.7%,80 382
Master+,TOUT,15.24,Lulu,support,98.8%,A,49.4%,-0.3%,11.2%,76 914
Master+,TOUT,15.24,Ahri,mid,96.0%,A,51.4%,-0.8%,8.4%,57 837
Master+,TOUT,15.24,Taric,support,93.4%,A,53.5%,-0.8%,1.7%,11 888
Master+,TOUT,15.24,Rek'Sai,jungle,79.6%,A,52.9%,+0.6%,3.0%,20 987
Master+,TOUT,15.24,Swain,mid,25.5%,A,53.3%,-1.8%,1.7%,11 917
Master+,TOUT,15.24,Poppy,support,61.4%,A,51.7%,-0.3%,3.1%,21 533
Master+,TOUT,15.24,Sylas,mid,37.1%,A,50.0%,-1.1%,7.4%,51 338
Master+,TOUT,15.24,Nautilus,support,98.8%,A,49.3%,-0.1%,10.6%,73 253
Master+,TOUT,15.24,Rengar,jungle,89.6%,A,50.6%,+2.0%,5.3%,36 866
Master+,TOUT,15.24,Qiyana,jungle,67.9%,A,50.0%,+0.1%,7.1%,49 118
Master+,TOUT,15.24,Braum,support,99.9%,A,50.5%,+1.7%,6.9%,47 734
Master+,TOUT,15.24,Kindred,jungle,97.3%,A,52.2%,+0.5%,3.2%,22 096
Master+,TOUT,15.24,Aphelios,adc,98.9%,A,50.6%,-0.5%,9.3%,64 102
Master+,TOUT,15.24,Quinn,top,70.2%,A,52.8%,-0.8%,1.8%,12 698
Master+,TOUT,15.24,Zyra,jungle,37.4%,A,53.1%,-0.4%,1.3%,8 857
Master+,TOUT,15.24,Kennen,top,76.3%,A,52.6%,-0.4%,2.6%,18 046
Master+,TOUT,15.24,Zed,mid,52.0%,A,50.2%,+0.2%,5.6%,38 501
Master+,TOUT,15.24,Kassadin,mid,96.7%,A,51.9%,+0.0%,3.6%,25 156
Master+,TOUT,15.24,Olaf,top,85.5%,A,52.7%,-0.7%,2.3%,15 873
Master+,TOUT,15.24,Milio,support,99.8%,A,50.1%,-0.8%,8.5%,58 714
Master+,TOUT,15.24,Lux,adc,20.0%,A,52.9%,-0.5%,1.3%,8 991
Master+,TOUT,15.24,Diana,jungle,67.3%,B,50.8%,+0.1%,6.3%,43 509
Master+,TOUT,15.24,Anivia,mid,72.8%,B,52.1%,-0.1%,3.3%,22 799
Master+,TOUT,15.24,Jinx,adc,99.7%,B,50.8%,+1.1%,8.0%,55 239
Master+,TOUT,15.24,Blitzcrank,support,99.6%,B,50.3%,+0.5%,5.6%,38 642
Master+,TOUT,15.24,Leona,support,99.8%,B,50.9%,+0.4%,6.7%,46 188
Master+,TOUT,15.24,Poppy,top,28.0%,B,51.5%,-0.7%,1.4%,9 842
Master+,TOUT,15.24,Orianna,mid,97.7%,B,49.9%,-0.8%,8.8%,60 689
Master+,TOUT,15.24,Ivern,jungle,81.5%,B,52.6%,+0.2%,1.9%,13 230
Master+,TOUT,15.24,Akshan,mid,90.2%,B,51.2%,+1.4%,4.1%,28 072
Master+,TOUT,15.24,Ambessa,top,67.4%,B,49.1%,+0.1%,8.2%,56 825
Master+,TOUT,15.24,Kai'Sa,adc,98.0%,B,49.1%,-0.4%,20.6%,142 074
Master+,TOUT,15.24,Viego,jungle,95.9%,B,49.3%,-1.4%,10.3%,70 901
Master+,TOUT,15.24,Irelia,top,62.6%,B,50.1%,+0.9%,4.4%,30 403
Master+,TOUT,15.24,Jhin,adc,98.5%,B,49.5%,-0.1%,13.4%,92 146
Master+,TOUT,15.24,Jayce,jungle,51.4%,B,49.2%,-0.4%,7.3%,50 339
Master+,TOUT,15.24,Urgot,top,94.3%,B,52.2%,-1.2%,2.7%,18 929
Master+,TOUT,15.24,Vex,mid,95.1%,B,52.2%,-0.5%,2.0%,14 016
Master+,TOUT,15.24,Sona,support,98.9%,B,51.6%,-0.3%,4.5%,30 679
Master+,TOUT,15.24,Vayne,adc,69.4%,B,51.0%,-1.4%,4.9%,33 731
Master+,TOUT,15.24,Jayce,top,37.6%,B,49.7%,+0.7%,5.3%,36 859
Master+,TOUT,15.24,Rumble,top,85.3%,B,51.4%,-0.3%,4.1%,28 427
Master+,TOUT,15.24,Jarvan IV,jungle,95.8%,B,50.2%,-0.4%,7.9%,54 454
Master+,TOUT,15.24,Leblanc,mid,82.0%,B,49.8%,-0.6%,4.6%,31 754
Master+,TOUT,15.24,Singed,top,85.3%,B,51.9%,+0.2%,3.0%,20 481
Master+,TOUT,15.24,Jayce,mid,10.7%,C,50.7%,+1.9%,1.5%,10 467
Master+,TOUT,15.24,Master Yi,jungle,86.3%,C,50.5%,+0.2%,3.6%,24 481
Master+,TOUT,15.24,Aatrox,jungle,48.9%,C,49.0%,+1.4%,6.8%,46 825
Master+,TOUT,15.24,Hecarim,jungle,99.8%,C,50.8%,-0.8%,4.5%,31 006
Master+,TOUT,15.24,Kled,top,91.6%,C,52.1%,-1.7%,1.8%,12 574
Master+,TOUT,15.24,Akali,mid,77.5%,C,49.4%,+0.1%,6.3%,43 495
Master+,TOUT,15.24,Aatrox,top,49.5%,C,48.8%,+0.5%,6.9%,47 419
Master+,TOUT,15.24,Vladimir,top,48.3%,C,50.5%,-1.1%,3.0%,20 907
Master+,TOUT,15.24,Darius,top,93.5%,C,49.5%,+0.1%,5.4%,37 219
Master+,TOUT,15.24,Yunara,adc,99.4%,C,48.4%,+0.5%,11.9%,81 913
Master+,TOUT,15.24,Udyr,jungle,71.8%,C,51.9%,-2.5%,1.8%,12 226
Master+,TOUT,15.24,Ekko,jungle,57.3%,C,50.7%,-0.1%,5.0%,34 415
Master+,TOUT,15.24,Yasuo,mid,57.1%,C,49.0%,+0.9%,6.2%,42 535
Master+,TOUT,15.24,Kog'Maw,adc,85.5%,C,52.0%,-0.3%,1.6%,11 320
Master+,TOUT,15.24,Kayle,mid,39.5%,C,51.4%,-0.4%,1.9%,13 167
Master+,TOUT,15.24,Graves,jungle,97.0%,C,50.5%,-0.8%,5.4%,37 294
Master+,TOUT,15.24,Nunu,jungle,81.6%,C,51.6%,-1.6%,2.4%,16 814
Master+,TOUT,15.24,Elise,jungle,40.2%,C,50.7%,-0.1%,2.6%,18 036
Master+,TOUT,15.24,Karthus,jungle,66.9%,C,51.0%,+0.9%,2.3%,15 649
Master+,TOUT,15.24,Viktor,mid,93.8%,C,49.3%,-1.0%,8.7%,60 079
Master+,TOUT,15.24,Jax,jungle,23.3%,C,50.1%,-2.0%,1.9%,13 245
Master+,TOUT,15.24,Soraka,support,97.2%,C,50.4%,+0.0%,5.6%,38 587
Master+,TOUT,15.24,Ziggs,adc,73.6%,C,51.6%,+0.4%,2.4%,16 260
Master+,TOUT,15.24,Cassiopeia,top,36.6%,C,51.7%,-0.8%,1.2%,8 501
Master+,TOUT,15.24,Vayne,top,26.8%,C,51.2%,-1.7%,1.9%,13 032
Master+,TOUT,15.24,Taliyah,jungle,20.7%,C,51.9%,-1.0%,1.1%,7 431
Master+,TOUT,15.24,Warwick,top,47.6%,C,51.8%,-1.3%,1.3%,9 069
Master+,TOUT,15.24,Sylas,top,5.7%,C,50.2%,+1.5%,1.1%,7 876
Master+,TOUT,15.24,Xayah,adc,99.5%,C,51.0%,-1.1%,3.8%,25 944
Master+,TOUT,15.24,Kayle,top,59.2%,C,50.9%,+1.8%,2.9%,19 728
Master+,TOUT,15.24,Gwen,top,69.5%,C,50.4%,+2.0%,3.6%,25 103
Master+,TOUT,15.24,Zilean,support,78.4%,C,51.1%,-0.3%,3.0%,20 357
Master+,TOUT,15.24,Nilah,adc,98.5%,C,51.5%,+0.6%,1.5%,10 193
Master+,TOUT,15.24,Cassiopeia,mid,47.8%,C,51.4%,-2.8%,1.6%,11 106
Master+,TOUT,15.24,Naafiri,mid,38.0%,C,51.0%,-0.2%,1.8%,12 217
Master+,TOUT,15.24,Twisted Fate,mid,93.1%,C,50.8%,+1.0%,4.0%,27 915
Master+,TOUT,15.24,Ezreal,adc,97.9%,C,48.1%,-1.1%,12.5%,85 899
Master+,TOUT,15.24,Alistar,support,99.1%,C,50.0%,+0.8%,6.1%,42 248
Master+,TOUT,15.24,Rakan,support,99.1%,C,50.1%,+0.3%,6.2%,43 030
Master+,TOUT,15.24,Kha'Zix,jungle,99.5%,C,49.9%,+1.6%,5.4%,37 294
Master+,TOUT,15.24,Irelia,mid,36.2%,C,49.5%,-0.4%,2.5%,17 568
Master+,TOUT,15.24,Ekko,mid,39.8%,C,50.6%,-0.1%,3.5%,23 865
Master+,TOUT,15.24,Swain,top,22.9%,C,51.4%,-1.0%,1.6%,10 686
Master+,TOUT,15.24,Caitlyn,adc,97.0%,C,48.4%,+1.4%,8.1%,55 505
