elo,server,patch,champion,role,role_pickrate,tier,winrate,winrate_evol,pickrate,games
Master+,TOUT,30days,Braum,support,100.0%,S+,52.3%,+1.7%,11.9%,75 973
Master+,TOUT,30days,Qiyana,mid,42.6%,S+,53.2%,+0.5%,3.9%,24 876
Master+,TOUT,30days,Jinx,adc,99.7%,S+,52.1%,+1.1%,12.0%,76 874
Master+,TOUT,30days,Zoe,mid,83.3%,S+,52.6%,+0.2%,5.1%,32 248
Master+,TOUT,30days,LeeSin,jungle,95.1%,S+,50.5%,+0.1%,13.5%,86 138
Master+,TOUT,30days,Yasuo,adc,11.9%,S+,53.6%,+1.8%,1.4%,8 997
Master+,TOUT,30days,Diana,jungle,78.6%,S,50.8%,+0.1%,10.0%,63 554
Master+,TOUT,30days,Katarina,mid,95.1%,S,51.5%,-0.1%,7.5%,47 710
Master+,TOUT,30days,Aphelios,adc,99.5%,S,49.9%,-0.5%,15.6%,99 330
Master+,TOUT,30days,Thresh,support,99.8%,S,50.9%,+0.4%,12.4%,79 245
Master+,TOUT,30days,Talon,mid,32.6%,S,52.6%,-0.1%,2.5%,16 106
Master+,TOUT,30days,Swain,adc,32.4%,S,54.3%,-0.3%,1.9%,12 290
Master+,TOUT,30days,Riven,top,89.2%,S,52.3%,-0.9%,5.1%,32 607
Master+,TOUT,30days,Rengar,jungle,86.2%,S,51.9%,+2.0%,4.4%,27 951
Master+,TOUT,30days,Sivir,adc,99.4%,S,51.3%,+0.6%,9.1%,57 878
Master+,TOUT,30days,Caitlyn,adc,99.0%,S,49.6%,+1.4%,12.9%,82 341
Master+,TOUT,30days,Gwen,top,47.9%,S,52.0%,+2.0%,3.9%,24 919
Master+,TOUT,30days,Kha'Zix,jungle,99.7%,S,51.2%,+1.6%,8.9%,56 554
Master+,TOUT,30days,Ekko,jungle,68.5%,S,50.3%,-0.1%,9.4%,59 697
Master+,TOUT,30days,Rek'Sai,jungle,86.5%,S,53.3%,+0.6%,4.0%,25 243
Master+,TOUT,30days,Gwen,jungle,49.4%,S,51.8%,+1.2%,4.0%,25 702
Master+,TOUT,30days,Kassadin,mid,95.9%,S,52.1%,-0.0%,5.1%,32 232
Master+,TOUT,30days,Nautilus,support,99.2%,A,49.5%,-0.0%,12.4%,78 914
Master+,TOUT,30days,Jax,top,80.4%,A,50.5%,-0.3%,7.2%,45 899
Master+,TOUT,30days,Varus,top,28.7%,A,51.6%,+3.1%,3.5%,22 108
Master+,TOUT,30days,Fiora,top,97.6%,A,51.3%,-0.2%,4.9%,31 375
Master+,TOUT,30days,Akshan,mid,90.5%,A,52.5%,+1.3%,3.7%,23 584
Master+,TOUT,30days,Sona,support,99.2%,A,51.5%,-0.3%,7.5%,48 137
Master+,TOUT,30days,Zed,mid,49.6%,A,50.5%,+0.2%,6.6%,41 823
Master+,TOUT,30days,Nami,support,99.9%,A,50.3%,-0.3%,14.9%,95 176
Master+,TOUT,30days,Varus,adc,64.2%,A,50.1%,+2.7%,7.8%,49 539
Master+,TOUT,30days,Taric,support,96.9%,A,53.5%,-0.8%,1.9%,12 433
Master+,TOUT,30days,Jayce,jungle,68.2%,A,49.0%,-0.4%,10.9%,69 679
Master+,TOUT,30days,Lucian,adc,97.0%,A,49.4%,-0.8%,12.4%,79 017
Master+,TOUT,30days,Jayce,mid,6.6%,A,52.0%,+1.8%,1.1%,6 742
Master+,TOUT,30days,Lulu,support,98.6%,A,49.3%,-0.3%,12.0%,76 895
Master+,TOUT,30days,Pyke,support,98.8%,A,50.3%,-0.2%,6.2%,39 813
Master+,TOUT,30days,Irelia,top,64.8%,A,50.6%,+0.9%,5.0%,32 200
Master+,TOUT,30days,Nilah,adc,99.1%,A,52.7%,+0.6%,2.1%,13 159
Master+,TOUT,30days,Twisted Fate,mid,95.4%,A,51.8%,+1.0%,5.7%,36 678
Master+,TOUT,30days,Kennen,top,85.7%,A,52.0%,-0.4%,4.1%,26 343
Master+,TOUT,30days,Bel'Veth,jungle,95.6%,A,52.4%,-1.1%,2.0%,12 627
Master+,TOUT,30days,Zed,jungle,45.3%,A,50.2%,+1.1%,6.0%,38 177
Master+,TOUT,30days,Talon,jungle,66.4%,A,50.4%,-0.3%,5.1%,32 779
Master+,TOUT,30days,Bard,support,99.5%,A,50.4%,-0.9%,8.5%,54 233
Master+,TOUT,30days,Yasuo,mid,60.8%,A,49.8%,+0.9%,7.2%,46 056
Master+,TOUT,30days,Janna,support,99.3%,A,51.4%,-0.8%,6.4%,40 864
Master+,TOUT,30days,Rumble,top,88.3%,A,51.2%,-0.3%,4.9%,31 023
Master+,TOUT,30days,Akali,mid,76.0%,A,49.3%,+0.1%,8.6%,54 909
Master+,TOUT,30days,Ivern,jungle,84.0%,A,52.9%,+0.2%,2.0%,12 626
Master+,TOUT,30days,Leona,support,99.9%,A,51.1%,+0.5%,7.0%,44 390
Master+,TOUT,30days,Kayle,top,71.1%,A,52.0%,+1.8%,3.0%,19 285
Master+,TOUT,30days,Nunu,jungle,90.3%,A,52.0%,-1.6%,3.7%,23 358
Master+,TOUT,30days,Neeko,support,80.3%,A,51.7%,+2.4%,4.1%,25 914
Master+,TOUT,30days,Blitzcrank,support,99.8%,B,50.4%,+0.5%,5.5%,34 968
Master+,TOUT,30days,Karma,support,94.5%,B,49.0%,-1.3%,11.7%,74 628
Master+,TOUT,30days,Tristana,adc,83.7%,B,51.6%,+0.3%,4.8%,30 716
Master+,TOUT,30days,Shaco,jungle,78.4%,B,51.2%,-0.1%,3.2%,20 195
Master+,TOUT,30days,Singed,top,82.9%,B,52.3%,+0.1%,2.9%,18 351
Master+,TOUT,30days,Zaahen,top,89.1%,B,50.3%,-0.8%,6.1%,39 001
Master+,TOUT,30days,Malphite,top,59.2%,B,49.8%,-2.2%,6.1%,38 821
Master+,TOUT,30days,Miss Fortune,adc,98.7%,B,50.7%,-0.4%,6.9%,44 008
Master+,TOUT,30days,Kindred,jungle,96.6%,B,52.2%,+0.5%,2.2%,14 291
Master+,TOUT,30days,Sylas,mid,53.1%,B,49.3%,-1.1%,7.6%,48 555
Master+,TOUT,30days,Syndra,mid,93.1%,B,50.3%,-0.8%,7.3%,46 366
Master+,TOUT,30days,Gangplank,top,94.2%,B,51.0%,+0.6%,5.1%,32 558
Master+,TOUT,30days,Draven,adc,95.2%,B,50.1%,-1.0%,4.3%,27 191
Master+,TOUT,30days,Anivia,mid,70.0%,B,51.7%,-0.1%,3.3%,21 214
Master+,TOUT,30days,Ambessa,top,60.9%,B,49.2%,+0.1%,7.2%,45 773
Master+,TOUT,30days,Elise,support,46.1%,B,51.7%,-0.1%,2.2%,14 214
Master+,TOUT,30days,Alistar,support,99.5%,B,50.7%,+0.8%,6.7%,42 711
Master+,TOUT,30days,Lux,adc,19.6%,B,52.6%,-0.5%,1.1%,7 311
Master+,TOUT,30days,Fiddlesticks,jungle,67.1%,B,52.1%,+0.5%,2.0%,12 866
Master+,TOUT,30days,Olaf,top,90.2%,B,51.9%,-0.6%,2.7%,16 972
Master+,TOUT,30days,Poppy,support,53.6%,B,51.4%,-0.3%,2.1%,13 655
Master+,TOUT,30days,Urgot,top,96.4%,B,52.0%,-1.2%,2.9%,18 610
Master+,TOUT,30days,Seraphine,adc,27.1%,B,52.5%,+1.4%,1.4%,8 796
Master+,TOUT,30days,Qiyana,jungle,52.0%,B,49.8%,+0.1%,4.8%,30 347
Master+,TOUT,30days,Zac,jungle,69.3%,B,51.5%,+0.4%,3.7%,23 356
Master+,TOUT,30days,Karthus,jungle,71.1%,B,51.6%,+0.8%,2.3%,14 634
Master+,TOUT,30days,Quinn,top,67.7%,C,52.4%,-0.9%,1.1%,6 888
Master+,TOUT,30days,Jayce,top,25.0%,C,49.9%,+0.7%,4.0%,25 521
Master+,TOUT,30days,Sylas,top,9.1%,C,50.7%,+1.5%,1.3%,8 302
Master+,TOUT,30days,Ekko,mid,29.6%,C,49.8%,-0.2%,4.0%,25 771
Master+,TOUT,30days,Ahri,mid,95.7%,C,50.5%,-0.8%,7.1%,45 597
Master+,TOUT,30days,Nidalee,jungle,79.0%,C,51.3%,-0.9%,3.4%,21 997
Master+,TOUT,30days,Jhin,adc,98.6%,C,49.3%,-0.1%,11.3%,72 015
Master+,TOUT,30days,Naafiri,mid,48.1%,C,51.0%,-0.1%,2.6%,16 865
Master+,TOUT,30days,Kai'Sa,adc,98.1%,C,48.8%,-0.4%,17.8%,113 898
Master+,TOUT,30days,Twitch,adc,92.7%,C,50.6%,+0.7%,5.2%,33 462
Master+,TOUT,30days,Yunara,adc,99.6%,C,48.6%,+0.5%,12.6%,80 569
Master+,TOUT,30days,Ziggs,adc,75.4%,C,52.0%,+0.3%,2.0%,12 864
Master+,TOUT,30days,Zyra,jungle,46.3%,C,52.0%,-0.4%,1.4%,8 659
Master+,TOUT,30days,Swain,mid,23.9%,C,52.0%,-1.8%,1.4%,9 076
Master+,TOUT,30days,Ashe,adc,88.9%,C,51.0%,-0.2%,4.9%,31 471
Master+,TOUT,30days,Viego,jungle,94.2%,C,47.9%,-1.4%,13.4%,85 571
Master+,TOUT,30days,Vex,mid,95.8%,C,51.5%,-0.5%,2.2%,14 274
Master+,TOUT,30days,Rakan,support,99.0%,C,50.5%,+0.3%,6.3%,40 144
Master+,TOUT,30days,Sylas,jungle,31.9%,C,49.4%,-0.7%,4.6%,29 193
Master+,TOUT,30days,Kog'Maw,adc,81.6%,C,52.0%,-0.4%,1.4%,9 160
Master+,TOUT,30days,Cassiopeia,top,36.5%,C,51.7%,-0.9%,1.2%,7 883
Master+,TOUT,30days,Leblanc,mid,85.3%,C,49.3%,-0.6%,4.5%,28 853
Master+,TOUT,30days,Akali,top,23.9%,C,49.8%,+0.2%,2.7%,17 269
Master+,TOUT,30days,Taliyah,jungle,36.2%,C,51.3%,-1.0%,2.4%,15 041
Master+,TOUT,30days,Samira,adc,98.7%,C,50.9%,+0.2%,3.4%,21 648
Master+,TOUT,30days,Poppy,top,34.4%,C,50.9%,-0.7%,1.4%,8 766
Master+,TOUT,30days,Galio,mid,87.6%,C,50.1%,+1.0%,6.0%,38 023
Master+,TOUT,30days,Vel'Koz,mid,32.1%,C,51.8%,+1.7%,1.1%,7 032
Master+,TOUT,30days,Soraka,support,97.1%,C,50.4%,+0.1%,4.9%,31 465
Master+,TOUT,30days,Corki,adc,83.5%,C,50.2%,+1.4%,6.0%,38 326
Master+,TOUT,30days,Orianna,mid,97.9%,C,49.3%,-0.8%,7.6%,48 279
Master+,TOUT,30days,Jarvan IV,jungle,95.9%,C,49.6%,-0.4%,7.5%,47 654
Master+,TOUT,30days,Renekton,top,94.9%,C,49.4%,+0.4%,6.5%,41 516
Master+,TOUT,30days,Xerath,mid,70.2%,C,50.7%,+1.4%,3.5%,22 234
Master+,TOUT,30days,Yasuo,top,27.1%,C,49.3%,+1.2%,3.2%,20 501
Master+,TOUT,30days,Diana,mid,20.5%,C,49.5%,-0.9%,2.6%,16 604
Master+,TOUT,30days,Master Yi,jungle,89.1%,C,50.0%,+0.2%,3.4%,21 455
Master+,TOUT,30days,Shen,top,87.3%,C,50.8%,+0.2%,3.7%,23 673
Master+,TOUT,30days,Irelia,mid,34.6%,C,49.4%,-0.5%,2.7%,17 193
Master+,TOUT,30days,Darius,top,96.5%,C,49.2%,+0.1%,4.7%,29 928
Master+,TOUT,30days,Vladimir,mid,47.0%,C,50.1%,+0.5%,2.8%,17 915
Master+,TOUT,30days,Rell,support,99.8%,C,50.1%,-0.2%,5.1%,32 520
Master+,TOUT,30days,Volibear,jungle,47.9%,C,50.5%,+1.2%,3.0%,19 295
Master+,TOUT,30days,Taliyah,mid,57.9%,C,50.4%,+0.3%,3.8%,24 006
Master+,TOUT,30days,Evelynn,jungle,98.7%,C,50.8%,+0.3%,2.2%,13 806
Master+,TOUT,30days,Hecarim,jungle,99.8%,C,49.9%,-0.8%,4.4%,27 930
Master+,TOUT,30days,Aurelion Sol,mid,68.9%,C,51.0%,+1.1%,2.1%,13 329
Master+,TOUT,30days,Pantheon,top,31.7%,C,51.0%,+1.0%,1.7%,10 970
Master+,TOUT,30days,Vladimir,top,46.5%,C,49.9%,-1.0%,2.8%,17 734
Master+,TOUT,30days,Vayne,top,41.6%,C,50.0%,-1.7%,3.1%,19 510
Master+,TOUT,30days,Ornn,top,96.5%,C,50.3%,+1.6%,4.4%,28 125
Master+,TOUT,30days,Ryze,mid,80.6%,C,48.3%,-0.3%,9.0%,57 171
Master+,TOUT,30days,Milio,support,99.9%,C,49.0%,-0.8%,6.7%,42 938
Master+,TOUT,30days,Smolder,adc,83.0%,C,49.1%,-0.8%,6.8%,43 168
Master+,TOUT,30days,Kayle,mid,27.5%,C,50.6%,-0.5%,1.2%,7 469
Master+,TOUT,30days,Zilean,support,74.4%,C,50.6%,-0.2%,2.5%,16 159
Master+,TOUT,30days,Teemo,top,83.8%,C,50.9%,+0.3%,1.5%,9 593
Master+,TOUT,30days,Vayne,adc,54.7%,C,49.5%,-1.4%,4.0%,25 652
Master+,TOUT,30days,Xayah,adc,99.5%,C,50.6%,-1.1%,2.7%,16 932
Master+,TOUT,30days,Elise,jungle,50.9%,C,50.0%,-0.1%,2.5%,15 679
Master+,TOUT,30days,Kled,top,89.7%,C,50.7%,-1.7%,1.8%,11 354
Master+,TOUT,30days,Lissandra,mid,89.3%,D,50.4%,-0.1%,2.7%,17 335
Master+,TOUT,30days,Aatrox,top,78.3%,D,48.4%,+0.5%,6.7%,43 026
Master+,TOUT,30days,Maokai,support,72.9%,D,50.9%,-0.0%,1.2%,7 379
Master+,TOUT,30days,Graves,jungle,95.2%,D,49.6%,-0.8%,4.3%,27 552
Master+,TOUT,30days,Ezreal,adc,97.8%,D,47.2%,-1.1%,13.7%,87 662
Master+,TOUT,30days,Rammus,jungle,84.6%,D,50.7%,+0.6%,1.2%,7 400
Master+,TOUT,30days,Camille,top,86.0%,D,50.3%,+0.1%,2.8%,18 076
Master+,TOUT,30days,Senna,support,91.3%,D,49.9%,+0.0%,3.9%,24 635
Master+,TOUT,30days,Gragas,top,67.3%,D,50.3%,-0.0%,2.6%,16 564
Master+,TOUT,30days,Swain,top,18.0%,D,50.6%,-1.0%,1.1%,6 811
Master+,TOUT,30days,Ambessa,jungle,34.3%,D,48.1%,+0.8%,4.0%,25 796
Master+,TOUT,30days,Jax,jungle,17.9%,D,48.8%,-1.9%,1.6%,10 221
Master+,TOUT,30days,Gnar,top,99.1%,D,49.6%,+0.6%,4.2%,27 083
Master+,TOUT,30days,Seraphine,support,66.4%,D,49.8%,-1.0%,3.4%,21 586
Master+,TOUT,30days,Dr.Mundo,top,55.7%,D,49.3%,-0.9%,3.6%,23 149
Master+,TOUT,30days,Warwick,top,53.2%,D,50.5%,-1.3%,1.2%,7 606
Master+,TOUT,30days,Aatrox,jungle,19.6%,D,49.5%,+1.4%,1.7%,10 752
Master+,TOUT,30days,Mel,adc,20.4%,D,48.8%,+0.9%,1.2%,7 495
Master+,TOUT,30days,Naafiri,jungle,37.9%,D,49.3%,+0.7%,2.1%,13 284
Master+,TOUT,30days,Cho'Gath,top,66.6%,D,50.0%,-0.1%,2.2%,14 259
Master+,TOUT,30days,Lillia,jungle,98.6%,D,49.9%,-0.7%,2.1%,13 698
Master+,TOUT,30days,Sion,top,81.6%,D,49.1%,-0.5%,4.8%,30 734
Master+,TOUT,30days,Viktor,mid,93.9%,D,48.5%,-1.0%,6.1%,38 795
Master+,TOUT,30days,Nasus,top,79.0%,D,49.7%,+0.9%,2.2%,14 279
Master+,TOUT,30days,Dr.Mundo,jungle,41.5%,D,49.2%,+1.8%,2.7%,17 237
Master+,TOUT,30days,Zeri,adc,95.7%,D,49.6%,+1.6%,3.1%,19 757
Master+,TOUT,30days,Aurora,top,26.5%,D,50.0%,+1.0%,1.2%,7 571
Master+,TOUT,30days,Fizz,mid,93.1%,D,49.5%,-1.1%,2.6%,16 610
Master+,TOUT,30days,Veigar,mid,66.9%,D,49.8%,+0.9%,2.3%,14 553
Master+,TOUT,30days,Udyr,jungle,63.6%,D,49.9%,-2.5%,1.4%,8 900
Master+,TOUT,30days,Lux,mid,44.8%,D,49.5%,-0.5%,2.6%,16 677
Master+,TOUT,30days,Morgana,support,69.5%,D,48.9%,+1.0%,2.1%,13 633
Master+,TOUT,30days,Volibear,top,51.4%,D,48.9%,+1.0%,3.2%,20 717
Master+,TOUT,30days,Ryze,top,19.0%,D,48.9%,-0.1%,2.1%,13 471
Master+,TOUT,30days,Xin Zhao,jungle,87.9%,D,49.2%,-0.7%,2.9%,18 380
Master+,TOUT,30days,Malzahar,mid,91.8%,D,48.8%,+0.6%,3.1%,19 777
Master+,TOUT,30days,Renata,support,99.1%,D,49.6%,+1.2%,1.1%,7 020
Master+,TOUT,30days,K'Sante,top,95.7%,D,47.7%,-0.4%,5.9%,37 664
Master+,TOUT,30days,Vel'Koz,support,43.7%,D,49.3%,-2.3%,1.5%,9 556
Master+,TOUT,30days,Aurora,mid,71.8%,D,48.6%,-0.7%,3.2%,20 530
Master+,TOUT,30days,Mordekaiser,top,88.5%,D,48.5%,+0.3%,3.2%,20 321
Master+,TOUT,30days,Cassiopeia,mid,43.8%,D,48.9%,-2.8%,1.5%,9 451
Master+,TOUT,30days,Sett,top,92.4%,D,48.6%,-0.5%,3.2%,20 103
Master+,TOUT,30days,Hwei,mid,76.5%,D,48.6%,-0.1%,2.8%,18 073
Master+,TOUT,30days,Garen,top,90.4%,D,48.4%,-0.3%,3.2%,20 580
Master+,TOUT,30days,Kalista,adc,90.3%,D,49.2%,+0.1%,1.1%,6 898
Master+,TOUT,30days,Swain,support,25.7%,D,48.9%,+0.8%,1.5%,9 727
Master+,TOUT,30days,Tryndamere,top,82.4%,D,48.7%,-1.5%,1.9%,12 067
Master+,TOUT,30days,Nocturne,jungle,89.5%,D,48.6%,-0.1%,2.2%,13 764
Master+,TOUT,30days,Kayn,jungle,93.8%,D,48.3%,-1.1%,2.7%,17 314
Master+,TOUT,30days,Zyra,support,40.9%,D,48.7%,+0.4%,1.2%,7 645
Master+,TOUT,30days,Wukong,jungle,75.2%,D,48.4%,-0.7%,2.3%,14 797
Master+,TOUT,30days,Yone,top,44.7%,D,47.7%,+0.3%,3.5%,22 049
Master+,TOUT,30days,Malphite,jungle,33.1%,D,46.2%,-2.7%,3.4%,21 706
Master+,TOUT,30days,Yone,mid,54.5%,D,47.4%,-0.0%,4.2%,26 912
Master+,TOUT,30days,Tahm Kench,support,52.4%,D,48.4%,-0.4%,1.0%,6 668
Master+,TOUT,30days,Illaoi,top,95.1%,D,48.3%,-0.8%,1.2%,7 963
Master+,TOUT,30days,Vi,jungle,95.7%,D,47.7%,-0.3%,3.4%,21 662
Master+,TOUT,30days,Sejuani,jungle,63.1%,D,48.3%,+1.1%,1.2%,7 400
Master+,TOUT,30days,Briar,jungle,88.6%,D,48.0%,-0.6%,1.6%,10 114
Master+,TOUT,30days,Yuumi,support,99.7%,D,46.1%,-0.7%,4.5%,28 935
Master+,TOUT,30days,Yorick,top,94.9%,D,47.6%,-1.1%,2.1%,13 436
Master+,TOUT,30days,Pantheon,support,37.5%,D,47.8%,-1.7%,2.0%,12 949
Master+,TOUT,30days,Lux,support,35.1%,D,47.4%,+0.1%,2.0%,13 050
Master+,TOUT,30days,Mel,mid,58.0%,D,44.7%,-0.6%,3.3%,21 297
Master+,TOUT,30days,Azir,mid,90.0%,D,46.3%,+0.2%,2.6%,16 333
Master+,TOUT,30days,Xerath,support,23.7%,D,46.3%,+0.5%,1.2%,7 498
Master+,TOUT,30days,Corki,mid,14.1%,D,46.1%,-1.1%,1.0%,6 460
Master+,TOUT,30days,Smolder,mid,12.6%,D,45.4%,-0.8%,1.0%,6 542
Master+,TOUT,30days,Mel,support,20.8%,D,43.6%,+1.2%,1.2%,7 652
