elo,server,patch,champion,role,role_pickrate,tier,winrate,winrate_evol,pickrate,games
Master+,VN,15.23,Nilah,adc,98.1%,S+,58.9%,+0.0%,2.7%,545
Master+,VN,15.23,Bel'Veth,jungle,95.5%,S+,57.5%,+1.7%,2.7%,544
Master+,VN,15.23,Elise,support,53.3%,S+,58.0%,+1.1%,2.0%,412
Master+,VN,15.23,Swain,mid,25.2%,S+,58.5%,-0.8%,1.0%,212
Master+,VN,15.23,Riven,top,70.7%,S+,57.1%,-0.8%,4.5%,912
Master+,VN,15.23,Jax,top,71.9%,S+,54.0%,-2.0%,6.9%,1 406
Master+,VN,15.23,Shaco,jungle,70.3%,S+,55.2%,-2.4%,2.5%,502
Master+,VN,15.23,Katarina,mid,96.1%,S+,53.8%,-0.2%,7.1%,1 439
Master+,VN,15.23,Skarner,jungle,79.1%,S+,56.7%,+4.8%,1.4%,282
Master+,VN,15.23,Zilean,support,80.1%,S+,56.0%,-0.1%,2.7%,546
Master+,VN,15.23,Heimerdinger,top,62.1%,S+,56.2%,-1.2%,1.6%,317
Master+,VN,15.23,Nidalee,jungle,84.6%,S+,53.6%,-1.8%,8.2%,1 665
Master+,VN,15.23,Jax,jungle,26.2%,S+,54.4%,-4.5%,2.8%,561
Master+,VN,15.23,Graves,jungle,97.2%,S+,51.1%,-0.9%,19.8%,4 032
Master+,VN,15.23,LeeSin,jungle,95.1%,S+,51.4%,+0.1%,18.1%,3 683
Master+,VN,15.23,Renata,support,99.6%,S+,56.0%,+9.0%,1.2%,241
Master+,VN,15.23,Bard,support,99.2%,S+,54.7%,+0.6%,4.8%,982
Master+,VN,15.23,Ziggs,adc,76.1%,S+,55.3%,-4.5%,2.7%,550
Master+,VN,15.23,Rell,support,99.8%,S+,53.9%,+1.4%,5.4%,1 102
Master+,VN,15.23,Nasus,top,76.2%,S+,55.3%,-2.6%,1.4%,293
Master+,VN,15.23,Kled,top,90.5%,S+,55.3%,-0.4%,1.9%,394
Master+,VN,15.23,Zoe,mid,80.1%,S+,52.2%,-0.0%,6.3%,1 285
Master+,VN,15.23,Pantheon,top,29.0%,S+,54.7%,+2.3%,1.7%,353
Master+,VN,15.23,Blitzcrank,support,99.7%,S+,52.2%,-0.3%,5.7%,1 166
Master+,VN,15.23,Xerath,mid,68.0%,S,51.9%,+2.4%,6.8%,1 394
Master+,VN,15.23,Zaahen,top,78.4%,S,50.2%,-1.0%,14.3%,2 915
Master+,VN,15.23,Pyke,support,98.5%,S,51.4%,-2.7%,7.7%,1 570
Master+,VN,15.23,Jinx,adc,99.4%,S,51.9%,+2.3%,11.6%,2 369
Master+,VN,15.23,Samira,adc,98.9%,S,53.8%,+2.3%,3.7%,745
Master+,VN,15.23,Diana,mid,36.3%,S,53.4%,-0.6%,4.1%,846
Master+,VN,15.23,Vex,mid,95.4%,S,54.5%,-2.2%,1.4%,286
Master+,VN,15.23,Sylas,jungle,56.4%,S,50.5%,+0.8%,9.8%,2 008
Master+,VN,15.23,Neeko,support,83.1%,S,53.4%,+1.0%,4.0%,822
Master+,VN,15.23,Karma,support,94.0%,S,50.0%,-3.4%,12.9%,2 628
Master+,VN,15.23,Kai'Sa,adc,98.3%,S,50.2%,-0.7%,41.5%,8 462
Master+,VN,15.23,Kindred,jungle,97.4%,S,51.8%,-0.5%,5.0%,1 027
Master+,VN,15.23,Malphite,jungle,36.3%,S,53.1%,-1.5%,1.7%,354
Master+,VN,15.23,Thresh,support,99.8%,S,50.0%,-0.2%,14.6%,2 971
Master+,VN,15.23,Annie,mid,83.0%,S,54.3%,-2.0%,1.6%,326
Master+,VN,15.23,Malphite,top,56.2%,S,51.8%,-2.7%,5.6%,1 137
Master+,VN,15.23,Qiyana,mid,28.0%,S,51.9%,-1.3%,4.0%,825
Master+,VN,15.23,Irelia,top,63.7%,S,51.7%,+0.4%,5.7%,1 165
Master+,VN,15.23,Viego,jungle,96.2%,S,50.5%,-0.6%,13.3%,2 723
Master+,VN,15.23,Mel,adc,27.6%,A,52.5%,+3.3%,1.2%,255
Master+,VN,15.23,Morgana,support,49.7%,A,51.9%,-2.0%,3.4%,686
Master+,VN,15.23,Pantheon,support,39.2%,A,53.0%,+1.3%,3.7%,749
Master+,VN,15.23,Shen,top,85.2%,A,53.7%,+0.6%,2.3%,460
Master+,VN,15.23,Rek'Sai,jungle,77.8%,A,53.9%,+0.7%,1.6%,323
Master+,VN,15.23,Taliyah,mid,73.8%,A,52.5%,-1.2%,5.0%,1 026
Master+,VN,15.23,Zaahen,mid,5.4%,A,52.3%,+14.0%,1.0%,214
Master+,VN,15.23,Akshan,mid,92.0%,A,53.4%,+2.9%,2.3%,459
