elo,server,patch,champion,role,role_pickrate,tier,winrate,winrate_evol,pickrate,games
Master+,VN,30days,Singed,top,82.9%,S+,57.8%,+7.0%,2.5%,1 527
Master+,VN,30days,Nilah,adc,99.1%,S+,55.7%,+0.0%,3.7%,2 300
Master+,VN,30days,Zoe,mid,83.3%,S+,54.7%,-0.0%,6.2%,3 857
Master+,VN,30days,Katarina,mid,95.1%,S+,53.4%,-0.2%,7.7%,4 748
Master+,VN,30days,Bel'Veth,jungle,95.6%,S+,55.6%,+1.7%,2.3%,1 403
Master+,VN,30days,Jinx,adc,99.7%,S+,53.3%,+2.3%,13.3%,8 238
Master+,VN,30days,Diana,jungle,78.6%,S+,53.2%,+1.8%,8.6%,5 351
Master+,VN,30days,Braum,support,100.0%,S+,53.1%,+1.9%,7.4%,4 590
Master+,VN,30days,Elise,support,46.1%,S+,54.8%,+1.1%,2.0%,1 218
Master+,VN,30days,LeeSin,jungle,95.1%,S+,50.5%,+0.1%,21.1%,13 083
Master+,VN,30days,Rek'Sai,jungle,86.5%,S+,55.0%,+0.7%,2.4%,1 485
Master+,VN,30days,Jayce,jungle,68.2%,S,50.3%,-3.7%,16.8%,10 399
Master+,VN,30days,Jayce,mid,6.6%,S,53.6%,+2.6%,1.0%,633
Master+,VN,30days,Gwen,top,47.9%,S,53.6%,+0.9%,4.4%,2 729
Master+,VN,30days,Riven,top,89.2%,S,54.2%,-0.8%,3.8%,2 359
Master+,VN,30days,Nautilus,support,99.2%,S,50.5%,+0.6%,10.1%,6 285
Master+,VN,30days,Graves,jungle,95.2%,S,49.9%,-0.9%,16.9%,10 505
Master+,VN,30days,Thresh,support,99.8%,S,50.0%,-0.2%,16.9%,10 477
Master+,VN,30days,Akshan,mid,90.5%,S,54.2%,+2.9%,2.1%,1 329
Master+,VN,30days,Alistar,support,99.5%,S,52.6%,+4.6%,5.9%,3 692
Master+,VN,30days,Aatrox,jungle,19.6%,S,52.4%,+5.4%,2.8%,1 754
Master+,VN,30days,Naafiri,mid,48.1%,S,53.2%,+2.5%,1.9%,1 183
Master+,VN,30days,Kindred,jungle,96.6%,S,52.1%,-0.5%,3.2%,1 981
Master+,VN,30days,Kai'Sa,adc,98.1%,S,49.9%,-0.7%,37.9%,23 503
Master+,VN,30days,Xerath,mid,70.2%,S,50.8%,+2.4%,7.1%,4 384
Master+,VN,30days,Aphelios,adc,99.5%,A,50.2%,+1.5%,12.0%,7 449
Master+,VN,30days,Rell,support,99.8%,A,52.2%,+1.4%,6.2%,3 860
Master+,VN,30days,Leona,support,99.9%,A,52.3%,-1.6%,5.6%,3 506
Master+,VN,30days,Swain,mid,23.9%,A,54.0%,-0.8%,1.1%,706
Master+,VN,30days,Lucian,adc,97.0%,A,50.2%,-0.3%,15.1%,9 371
Master+,VN,30days,Kled,top,89.7%,A,53.8%,-0.4%,1.5%,924
Master+,VN,30days,Ekko,jungle,68.5%,A,52.0%,+0.5%,5.5%,3 413
Master+,VN,30days,Taliyah,jungle,36.2%,A,53.3%,-0.8%,1.5%,919
Master+,VN,30days,Gangplank,top,94.2%,A,52.3%,-1.8%,4.0%,2 488
Master+,VN,30days,Seraphine,adc,27.1%,A,53.5%,+2.5%,1.0%,637
Master+,VN,30days,Akali,mid,76.0%,A,49.7%,+0.8%,8.6%,5 355
Master+,VN,30days,Zaahen,top,89.1%,A,50.9%,-1.0%,5.4%,3 339
Master+,VN,30days,Ambessa,top,60.9%,A,50.5%,+5.8%,5.9%,3 638
Master+,VN,30days,Olaf,top,90.2%,A,52.9%,+1.3%,2.3%,1 443
Master+,VN,30days,Tristana,adc,83.7%,A,52.5%,+2.9%,4.2%,2 604
Master+,VN,30days,Qiyana,mid,42.6%,A,50.7%,-1.3%,4.8%,2 975
Master+,VN,30days,Lulu,support,98.6%,A,49.1%,-1.1%,13.1%,8 136
Master+,VN,30days,Urgot,top,96.4%,A,52.8%,-2.5%,2.9%,1 804
Master+,VN,30days,Sivir,adc,99.4%,A,51.7%,-1.0%,5.9%,3 665
Master+,VN,30days,Twitch,adc,92.7%,A,51.9%,+1.6%,5.2%,3 215
Master+,VN,30days,Nami,support,99.9%,A,50.0%,+0.7%,14.3%,8 857
Master+,VN,30days,Jayce,top,25.0%,A,50.1%,+1.4%,6.6%,4 089
Master+,VN,30days,Poppy,support,53.6%,A,52.5%,-4.0%,1.9%,1 155
Master+,VN,30days,Karma,support,94.5%,A,48.7%,-3.4%,13.3%,8 275
Master+,VN,30days,Kayle,top,71.1%,A,52.8%,+0.5%,2.5%,1 534
Master+,VN,30days,Kha'Zix,jungle,99.7%,A,49.9%,+0.2%,8.8%,5 442
