iter	Accuracy	Logloss
0	0.5178206161	0.6928623166
1	0.5204239757	0.6923974048
2	0.530589475	0.6920098686
3	0.530837414	0.691634015
4	0.5328829108	0.6913389522
5	0.5338746668	0.6908654688
6	0.5338746668	0.6906647135
7	0.5355482551	0.6903713953
8	0.532077109	0.6901660799
9	0.5337506973	0.689834707
10	0.539329325	0.6892560711
11	0.5421186388	0.6889659808
12	0.5413748218	0.6886918827
13	0.5444120746	0.6884927068
14	0.5463336019	0.688258929
15	0.5465815409	0.6879863249
16	0.5466435257	0.6878892111
17	0.547077419	0.6876523196
18	0.5473873427	0.6874545682
19	0.5475113122	0.687079457
20	0.5524081076	0.6865708212
21	0.5547635282	0.6862675957
22	0.556561086	0.6858629599
23	0.5566230707	0.6856036998
24	0.5566850555	0.6855785132
25	0.5569949792	0.685247357
26	0.5589784913	0.6849115507
27	0.558792537	0.6847716606
28	0.5593503998	0.6845596192
29	0.5581726895	0.6842295829
30	0.559040476	0.6840205764
31	0.5601562016	0.6837983583
32	0.5608380338	0.6836641919
33	0.5625116221	0.6834067644
34	0.5630075002	0.6831766315
35	0.5641232257	0.6829424298
36	0.5619537594	0.6827540622
37	0.5637513172	0.6824728725
38	0.5658587987	0.6822129835
39	0.5666026158	0.6818652573
40	0.567284448	0.68154876
41	0.5691439906	0.6811083605
42	0.5693299448	0.6809766768
43	0.5713754416	0.6807228796
44	0.5702597161	0.6806133223
45	0.5724911672	0.6803662769
46	0.5762102523	0.6801565393
47	0.5772020083	0.6799105767
48	0.5778218558	0.679770812
49	0.5776978863	0.6795798441
50	0.5776978863	0.679462046
51	0.5779458253	0.679416391
52	0.5783797186	0.6792679042
53	0.5803632306	0.6789362501
54	0.5818508647	0.6787139611
55	0.5823467427	0.6786878969
56	0.5824707122	0.6784919557
57	0.5822227732	0.6784067645
58	0.5829046055	0.6782774075
59	0.5845781938	0.6781099391
60	0.5845781938	0.677740425
61	0.5863137668	0.6773648377
62	0.5874294923	0.6770535758
63	0.5874914771	0.676935795
64	0.5870575838	0.6767335642
65	0.5892270501	0.6764175205
66	0.5891030806	0.6760787929
67	0.5909006384	0.6757584304
68	0.5912105622	0.6756779011
69	0.5951775863	0.6752424051
70	0.5945577388	0.6750838958
71	0.5954875101	0.6748721494
72	0.5946817083	0.6747558177
73	0.5947436931	0.6744142712
74	0.5968511746	0.6742457532
75	0.5970991136	0.67397756
76	0.5994545342	0.6737898586
77	0.5993925494	0.673586407
78	0.5998264427	0.6733931203
79	0.5995165189	0.673215288
80	0.6013140767	0.6730317475
81	0.602739726	0.6729292534
82	0.6031116345	0.6727568279
83	0.6047852228	0.6725018286
84	0.6045992686	0.6723541218
85	0.6037934668	0.6720300832
86	0.6036694973	0.6718580377
87	0.6063968264	0.6715332315
88	0.6048472076	0.6713543056
89	0.6067067501	0.6710940432
90	0.6062728569	0.6708797181
91	0.6055910246	0.6707408483
92	0.6071406434	0.6705166283
93	0.6067687349	0.6703397876
94	0.6074505672	0.6701861792
95	0.6085662927	0.6699648179
96	0.6106117895	0.6697584556
97	0.6118514845	0.6696206127
98	0.6132151491	0.6692581767
99	0.6156325544	0.6689962303
